SMILES	Substrate	Mol_ID
CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CO3)O)O)O	4-methylumbelliferyl-beta-D-xylopyranoside	mol_2089.sdf
S([C@H]1[C@H](O)[C@@H](O)[C@H](O)CS1)C1=CC2=CC=CC=C2C=C1	2-naphthyl 1,5-dithio-beta-D-xylopyranoside	mol_2091.sdf
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)CS1)C1=CC2=CC=CC=C2C=C1	2-naphthyl 5-thio-beta-D-xylopyranoside	mol_2094.sdf
C1=C(C=CC2=CC=CC=C12)O[C@H]1[C@@H]([C@H]([C@@H](CC1)O)O)O	(1R,2S,3R,4R)-4-(2-naphthyloxy)cyclohexan-1,2,3-triol	mol_2095.sdf
S([C@H]1[C@H](O)[C@@H](O)[C@H](O)CO1)C1=CC2=CC=CC=C2C=C1	naphthalen-2-yl 1-thio-beta-D-xylopyranoside	mol_2097.sdf
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)CO1)C1=CC2=CC=CC=C2C=C1	naphthalen-2-yl beta-D-xylopyranoside	mol_2092.sdf
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-glucose	mol_265.sdf
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-galactose	mol_2088.sdf
C1C(C(C(C(O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O	4-nitrophenyl-beta-D-xylopyranoside	mol_2098.sdf
OC[C@H]1O[C@H](OP(=O)(OP(=O)(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(=O)[nH]c2=O)[O-])[O-])[C@@H]([C@H]([C@@H]1O)O)N	UDP-alpha-D-GlcNAc	mol_2104.sdf
[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(C)=O)O[C@@H]2[C@H](O[C@@H]([C@H]([C@@H]2O)O)CO)O[C@@H]3[C@@H]([C@@H](O[C@@H]([C@H]3O)CO[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H](O[C@@H]5CO)O[C@H]6[C@@H]([C@H]([C@@H](O[C@@H]6CO)NC(C[C@@H](C(=O)*)N*)=O)NC(C)=O)O)NC(C)=O)O)O	beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn	mol_2103.sdf
C(C)(=O)N[C@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO)CO	N-acetyllactosamine	mol_2105.sdf
C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O	GDP-beta-fucose	mol_2106.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	maltodextrin	mol_5586.sdf
CC(=O)NC1C(C(C(OC1O)CO)O)OC2C(C(C(C(O2)CO)O)O)O	lacto-N-biose I	mol_2151.sdf
CC(=O)NC1C(C(C(OC1O)CO)O)OC2C(C(C(C(O2)CO)O)O)O	galacto-N-biose	mol_2150.sdf
P(=O)(O)(O)O[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO	alpha-D-galactose 1-phosphate	mol_2149.sdf
CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O	GDP-fucose	mol_2153.sdf
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)n3ccc(=O)[nH]c3=O)O)O)CO)O)O	UDP-beta-D-GlcNAc	mol_2159.sdf
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	UDP-GlcNAc	mol_2101.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)O)CO)CO)CO)CO)CO)CO)O)O)O)O	maltoheptaose	mol_2163.sdf
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)CO)CO)O)O)O)O	maltopentaose	mol_2078.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)O)CO)CO)CO)CO)CO)O)O)O)O	maltohexaose	mol_5588.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O	maltotetraose	mol_3535.sdf
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	UDP-glucuronate	mol_318.sdf
C([C@H](O)C)(=O)[O-]	D-lactate	mol_2169.sdf
C(C(C(=O)[O-])O)O	D-glycerate	mol_400.sdf
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	GDP-mannose	mol_2154.sdf
[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)O[C@H]1[C@@H]([C@H](C(O)O[C@@H]1CO)O)O	4-O-beta-D-mannopyranosyl-D-glucopyranose	mol_2172.sdf
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O	laminaribiose	mol_2175.sdf
CC(C)CC(C(=O)NC1C(C2=CC(=C(C=C2)OC3=CC4=CC(=C3OC5C(C(C(C(O5)CO)O)O)O)OC6=C(C=C(C=C6)C(C7C(=O)NC(C8=C(C(=CC(=C8)O)O)C9=C(C=CC(=C9)C(C(=O)N7)NC(=O)C4NC(=O)C(NC1=O)CC(=O)N)O)C(=O)O)O)Cl)Cl)O)NC	desvancosaminyl-vancomycin	mol_2194.sdf
CC1C(C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)(C)N)O	dTDP-beta-L-4-epi-vancosamine	mol_2193.sdf
O=C([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[O-]	D-gluconate	mol_3.sdf
CC1C(C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)N)O	dTDP-beta-L-daunosamine	mol_2211.sdf
O[C@H]1C[C@@H](O[C@@H]1COP(=O)(OP(=O)(O[C@H]1O[C@@H](C)[C@@H]([C@@](C1)(C)N)O)O)O)n1ccc(=O)[nH]c1=O	UDP-L-epi-vancosamine	mol_2212.sdf
C[C@H]1[C@H]([C@H](C[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N)O	dTDP-beta-L-acosamine	mol_2213.sdf
P(=O)(O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO	beta-D-glucose 1-phosphate	mol_2217.sdf
[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)OC(CO)CO	2-O-alpha-D-glucopyranosyl-sn-glycerol	mol_2219.sdf
OCC(O)CO	sn-glycerol	mol_2218.sdf
P(=O)(O)(O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO	alpha-D-mannose 1-phosphate	mol_2171.sdf
[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)O[C@@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O)CO	beta-D-mannopyranosyl-(1->2)-D-mannopyranose	mol_2226.sdf
C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3[C@H]([C@@H]([C@H](OC3O)CO)O)O)CO)O)O)O)O)O)O	beta-D-mannopyranosyl-(1->2)-beta-D-mannopyranosyl-(1->2)-D mannopyranose	mol_2225.sdf
OC1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO	D-mannopyranose	mol_2224.sdf
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	UDP-N-acetyl-D-glucosamine	mol_2080.sdf
[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)OC(CO)CO	2-O-(alpha-D-glucopyranosyl)glycerol	mol_2229.sdf
P(=O)(O)(O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O	glucose 6-phosphate	mol_2231.sdf
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N	ADP-glucose	mol_2081.sdf
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	GDP-glucose	mol_2230.sdf
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	UDP-N-acetylgalactosamine	mol_2273.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)N)OC(C(CO)O)C(C(C=O)N)O)CO)N)O)O)O	chitotriose	mol_2242.sdf
C(C)(=O)N[C@H]1[C@H](O)O[C@@H]([C@H]([C@@H]1O)O)CO	N-acetyl-beta-D-glucosamine	mol_537.sdf
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)O	N-acetyl-beta-D-glucosaminyl-1,4-N-acetyl-beta-D-glucosamine	mol_2241.sdf
O1C=C(C(=O)C=2C(O)=CC(O)=CC12)C1=CC=C(O)C=C1	genistein	mol_2245.sdf
O1C(=CC(=O)C=2C(O)=CC(O)=CC12)C1=CC=C(O)C=C1	apigenin	mol_2244.sdf
OC=1C=C2C(CC(OC2=CC1)C1=CC=CC=C1)=O	6-hydroxyflavanone	mol_2246.sdf
OC1=CC=C(C2OC3=CC=CC=C3C(C2)=O)C=C1	4'-hydroxyflavanone	mol_2247.sdf
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	UDP-N-acetyl-alpha-D-galactosamine	mol_2248.sdf
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)C1=CC=CC=C1	phenyl beta-D-glucopyranoside	mol_2263.sdf
OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O	[(1->4)-beta-D-glucosyl]2	mol_2267.sdf
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	[(1->4)-beta-D-glucosyl]4	mol_2264.sdf
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	[(1->4)-beta-D-glucosyl]5	mol_2266.sdf
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	[(1->4)-beta-D-glucosyl]6	mol_2265.sdf
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	[(1->4)-beta-D-glucosyl]3	mol_2268.sdf
C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	p-nitrophenyl-beta-D-galactoside	mol_2274.sdf
C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	p-nitrophenyl-alpha-D-galactoside	mol_2275.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(N)=NC12	guanosine	mol_2281.sdf
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12	2'-deoxyinosine	mol_2279.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12	Inosine	mol_2280.sdf
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(N)=NC12	2'-deoxyguanosine	mol_2278.sdf
C[C@@]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(S)=NC=NC12	Methylthioinosine	mol_2282.sdf
[C@@H]1(CC[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12	2',3'-dideoxyinosine	mol_2283.sdf
N1C(N)=NC=2N=CNC2C1=O	guanine	mol_2304.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(N)=NC=NC12	adenosine	mol_2297.sdf
[C@@H]1([C@H](O)[C@H](O)[C@H](O1)CO)N1C2=NC=NC(=C2N=C1)SC	9-beta-D-ribofuranosyl-6-methylthiopurine	mol_2292.sdf
FC=1N=C(C=2N=CN([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C2N1)N	2-fluoroadenosine	mol_2287.sdf
OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1ncnc2SC	9-beta-D-(2-deoxyribofuranosyl)-6-methylthiopurine	mol_2298.sdf
FC=1N=C(C=2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2N1)N	2-fluoro-2'-deoxyadenosine	mol_2293.sdf
CC([C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)S)O)O	5'-methylthioadenosine	mol_2307.sdf
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12	deoxyinosine	mol_2306.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(=O)NC(=O)NC12	Xanthosine	mol_2301.sdf
N1C=NC=2N=CNC2C1=O	hypoxanthine	mol_2310.sdf
C(C1=CC(=O)NC(=O)N1)(=O)[O-]	Orotate	mol_2313.sdf
[O-]P([O-])(=O)OP(=O)([O-])[O-]	diphosphate	mol_2314.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C(=O)NC(=O)C=C1C(=O)O)O)O	orotidine 5'-phosphate	mol_2311.sdf
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP	mol_810.sdf
P(O)(=O)(OP(=O)(O)O)O[C@@H]1[C@H](O)[C@H](O)[C@H](O1)COP(=O)(O)O	5-phospho-alpha-D-ribose 1-diphosphate	mol_2312.sdf
C(C=1C(N)=CC=CC1)(=O)[O-]	anthranilate	mol_2317.sdf
N1=C(C(=O)O)C(C(=O)O)=CC=C1	quinolinic acid	mol_2318.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C(=O)NC(=O)C=C1	uridine	mol_2308.sdf
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O	beta-nicotinate D-ribonucleotide	mol_2319.sdf
CC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)S)O	5'-deoxy-5'-methylthioadenosine	mol_2321.sdf
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C=NC=2C(N)=NC=NC12	2'-deoxyadenosine	mol_2322.sdf
CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)O	S-methyl-5'-thioadenosine	mol_2324.sdf
C1=C[C@@H]([C@@H]([C@H]1NCC2=CNC3=C2C(=O)NC(=N3)N)O)O	pre-queuine 0	mol_2325.sdf
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C(=O)NC(=O)C(C)=C1	thymidine	mol_2330.sdf
[N+](=O)([O-])C=1C(NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)=O	5-nitro-2'-deoxyuridine	mol_2341.sdf
CC([C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(S)=NC=NC12)O)O)O	5'-methylthioinosine	mol_2309.sdf
CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(O)=NC=NC12)O)O	S-methyl-5'-thioinosine	mol_2343.sdf
N1=CN=C2N=CNC2=C1N	adenine	mol_2342.sdf
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	UMP	mol_2344.sdf
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	CMP	mol_2345.sdf
C1=CC(C(C1NCC2=CNC3=C2C(=O)NC(=N3)N)O)O	queuine	mol_2348.sdf
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N	AMP	mol_2349.sdf
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O	CMP-N-acetylneuraminate	mol_2355.sdf
[C@@H]1([C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO)O[C@H]1[C@@H]([C@H]([C@H](O)O[C@@H]1CO)NC(C)=O)O	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosamine	mol_2356.sdf
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)[O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O	CMP-N-acetyl-beta-neuraminate	mol_2363.sdf
CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O	4-methylumbelliferyl beta-lactoside	mol_2369.sdf
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)C(CO)O)O)O)O)O)O)N	ADP-L-glycero-beta-D-manno-heptose	mol_2375.sdf
C(CN)CNCCCN	norspermidine	mol_2378.sdf
C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	S-adenosyl 3-(methylthio)propylamine	mol_2379.sdf
NC(NCCCCN)=N	agmatine	mol_1983.sdf
NCCCN(CCCN)CCCN	tris(3-aminopropyl)amine	mol_2380.sdf
N1C=C(C2=CC=CC=C12)/C=C/C(C)=O	(E)-4-(1H-indol-3-yl)but-3-en-2-one	mol_2394.sdf
C1CC2C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43	brevianamide F	mol_2384.sdf
C1CC2C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43	cyclo-(L-Trp-L-Pro)	mol_2382.sdf
O(P([O-])(=O)OP(=O)([O-])[O-])CC=C(C)C	dimethylallyl diphosphate	mol_2393.sdf
C1=C(C(C(C(C1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O)CO	GDP-valienol	mol_2396.sdf
C1C(C(C(C(C1N)O)O)O)COP(=O)(O)O	validamine 7-phosphate	mol_2395.sdf
CC(C(=O)C1=C(C=C(C=C1O)O)O)C	2-methyl-1-(2,4,6-trihydroxyphenyl)propan-1-one	mol_2397.sdf
CC(CC(=O)C1=C(C=C(C=C1O)O)O)C	3-methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one	mol_2399.sdf
C1(=CC=CC=C1)C(=O)C1=C(C=C(C=C1O)O)O	phenyl(2,4,6-trihydroxyphenyl)methanone	mol_2398.sdf
S(=O)(C1=CC=C(C=C1)N)(=O)N	sulfanilamide	mol_2408.sdf
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N	sulfisoxazole	mol_2407.sdf
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	sulfamethoxazole	mol_2410.sdf
CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	sulfamethizole	mol_2409.sdf
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	Sulfadiazine	mol_2414.sdf
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	sulfathiazole	mol_2412.sdf
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N	dapson	mol_2413.sdf
[C@@H]1([C@H](O)[C@H](O)[C@@H](C[S+](CCCN)C)O1)N1C=NC=2C(N)=NC=NC12	S-adenosylmethioninamine	mol_2415.sdf
CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[Co]	cob(II)inamide	mol_2417.sdf
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co]	cob(I)alamin	mol_2418.sdf
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+2]	Cobalamin	mol_2419.sdf
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3]	hydroxocobalamin	mol_2420.sdf
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	dATP	mol_2423.sdf
[O-]O.C1(=CC=CC=C1)C(C)C	cumene hydroperoxide	mol_676.sdf
ClC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	1-chloro-2,4-dinitrobenzene	mol_2424.sdf
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C	4-methylumbelliferyl acetate	mol_2429.sdf
CC(=O)OC1=CC2=C(C=C1)C3(C4=C(C=C(C=C4)CCl)C(=O)O3)C5=C(O2)C=C(C=C5)OC(=O)C	5-chloromethylfluorescein diacetate	mol_2428.sdf
[N+](=O)([O-])C=1C=C(C(=O)NC2=CC=CC=C2)C=CC1[N+](=O)[O-]	3,4-dinitrobenzanilide	mol_2438.sdf
ICCCC	iodobutane	mol_2439.sdf
ICCCCCC	iodohexane	mol_2441.sdf
IC	iodomethane	mol_2440.sdf
C=C(C(=O)O)OP(=O)(O)O	phosphoenolpyruvate	mol_2444.sdf
C1C(C(C(C=C1C(=O)[O-])OP(=O)([O-])[O-])O)O	3-phosphoshikimate	mol_2445.sdf
C=C(C(=O)[O-])O[C@@H]1CC(=C[C@H]([C@H]1O)OP(=O)([O-])[O-])C(=O)[O-]	5-enolpyruvylshikimate 3-phosphate	mol_2447.sdf
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO	thiamine	mol_2448.sdf
[N+](=O)([O-])C1=CC=C(C=C1)[S-]	4-nitrothiophenolate	mol_2449.sdf
CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	mol_2451.sdf
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N	ADP	mol_2086.sdf
O(P([O-])(=O)OP(=O)([O-])[O-])C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C	(E,E)-farnesyl diphosphate	mol_2453.sdf
O(P([O-])(=O)OP(=O)([O-])[O-])C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C	(2E,6E)-farnesyl diphosphate	mol_2454.sdf
O(P([O-])(=O)OP(=O)([O-])[O-])CCC(=C)C	isopentenyl diphosphate	mol_2452.sdf
COC([C@@H](N)CC1=CNC2=CC=CC=C12)=O	L-tryptophan methyl ester	mol_2472.sdf
C[C@@H]1C(=O)N[C@H](C2=NC3=CC=CC=C3C(=O)N12)CC4=CNC5=CC=CC=C54	ardeemin fumiquinazoline	mol_2460.sdf
C[C@@H]1C(=O)N[C@H](C2=NC3=CC=CC=C3C(=O)N12)CC4=CNC5=CC=CC=C54	dia-ardeemin fumiquinazoline	mol_2467.sdf
C1=CC=C(C(=C1)CC(C(=O)O)N)O	L-o-tyrosine	mol_2468.sdf
N(C)[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O	L-abrine	mol_2469.sdf
C1=CC(=CC(=C1)O)CC(C(=O)O)N	L-m-tyrosine	mol_2463.sdf
C[C@@H]1C(=O)N[C@H](C2=NC3=CC=CC=C3C(=O)N12)CC4=CNC5=CC=CC=C54	ent-ardeemin fumiquinazoline	mol_2466.sdf
C(C)(=O)OC[C@H](N)C(=O)O	O-acetyl-L-serine	mol_2403.sdf
S	H2S	mol_2475.sdf
S	hydrogen sulfide	mol_2476.sdf
P(=O)(O)(O)OC[C@H]([C@H](C=O)O)O	D-erythrose 4-phosphate	mol_1872.sdf
P(=O)(O)(O)OC[C@H]([C@H]([C@@H](C=O)O)O)O	D-arabinose 5-phosphate	mol_2480.sdf
N[C@@H](CCSC)C(=O)O	L-methionine	mol_856.sdf
