SMILES	Ligand_name	Mol_ID	InChI	InChIKey
CCC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	26-methylcholesterol	mol_5544.sdf	InChI=1S/C28H48O/c1-6-19(2)8-7-9-20(3)24-12-13-25-23-11-10-21-18-22(29)14-16-27(21,4)26(23)15-17-28(24,25)5/h10,19-20,22-26,29H,6-9,11-18H2,1-5H3/t19?,20-,22+,23+,24-,25+,26+,27+,28-/m1/s1	IUXWFWQWKZBGFL-QGOUJLTDSA-N
C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)Br)[H])[H])C)[H])C	(25R)-25-bromo-27-norcholesterol	mol_5545.sdf	InChI=1S/C26H43BrO/c1-17(6-5-7-18(2)27)22-10-11-23-21-9-8-19-16-20(28)12-14-25(19,3)24(21)13-15-26(22,23)4/h8,17-18,20-24,28H,5-7,9-16H2,1-4H3/t17-,18?,20+,21+,22-,23+,24+,25+,26-/m1/s1	LTFMGHWBBACKDO-JVMDNGGPSA-N
CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	cholest-5-en-3-beta-ol	mol_5546.sdf	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3	HVYWMOMLDIMFJA-UHFFFAOYSA-N
C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)Br)[H])[H])C)[H])C	(25S)-25-bromo-27-norcholesterol	mol_5547.sdf	InChI=1S/C26H43BrO/c1-17(6-5-7-18(2)27)22-10-11-23-21-9-8-19-16-20(28)12-14-25(19,3)24(21)13-15-26(22,23)4/h8,17-18,20-24,28H,5-7,9-16H2,1-4H3/t17-,18?,20+,21+,22-,23+,24+,25+,26-/m1/s1	LTFMGHWBBACKDO-JVMDNGGPSA-N
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	3-oxo-23,24-bisnorchola-1,4-diene-22-oyl-CoA	mol_997.sdf	InChI=1S/C43H64N7O18P3S/c1-23(27-8-9-28-26-7-6-24-18-25(51)10-13-42(24,4)29(26)11-14-43(27,28)5)40(56)72-17-16-45-31(52)12-15-46-38(55)35(54)41(2,3)20-65-71(62,63)68-70(60,61)64-19-30-34(67-69(57,58)59)33(53)39(66-30)50-22-49-32-36(44)47-21-48-37(32)50/h10,13,18,21-23,26-30,33-35,39,53-54H,6-9,11-12,14-17,19-20H2,1-5H3,(H,45,52)(H,46,55)(H,60,61)(H,62,63)(H2,44,47,48)(H2,57,58,59)/p-4/t23-,26-,27+,28-,29-,30+,33+,34+,35-,39+,42-,43+/m0/s1	NNUYEQLFHWCXPC-ZKTJOKCMSA-J
O=C(NCCSOC(=O)[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C)C)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)([O-])[O-])O)n1cnc2c1ncnc2N)[O-])[O-])(C)C)O	3-oxo-23,24-bisnorchola-1,4-dien-22-oate-CoA	mol_998.sdf	InChI=1S/C43H64N7O19P3S/c1-23(27-8-9-28-26-7-6-24-18-25(51)10-13-42(24,4)29(26)11-14-43(27,28)5)40(56)68-73-17-16-45-31(52)12-15-46-38(55)35(54)41(2,3)20-65-72(62,63)69-71(60,61)64-19-30-34(67-70(57,58)59)33(53)39(66-30)50-22-49-32-36(44)47-21-48-37(32)50/h10,13,18,21-23,26-30,33-35,39,53-54H,6-9,11-12,14-17,19-20H2,1-5H3,(H,45,52)(H,46,55)(H,60,61)(H,62,63)(H2,44,47,48)(H2,57,58,59)/p-4/t23-,26-,27+,28-,29-,30+,33+,34+,35-,39+,42-,43+/m0/s1	URXQNWCVUHFOJJ-ZKTJOKCMSA-J
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(C=C[C@]3(C)[C@H]1CC2)=O)=O	1,4-androstadiene-3,17-dione	mol_995.sdf	InChI=1S/C19H24O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h7,9,11,14-16H,3-6,8,10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1	LUJVUUWNAPIQQI-QAGGRKNESA-N
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(C=C[C@]3(C)[C@H]1CC2)=O)=O	androsta-1,4-diene-3,17-dione	mol_996.sdf	InChI=1S/C19H24O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h7,9,11,14-16H,3-6,8,10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1	LUJVUUWNAPIQQI-QAGGRKNESA-N
C[C@@]12C(CC[C@H]1[C@@H]1CC[C@H]3CC(CC[C@]3(C)[C@H]1CC2)=O)=O	5alpha-androstan-3,17-dione	mol_438.sdf	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-16H,3-11H2,1-2H3/t12-,14-,15-,16-,18-,19-/m0/s1	RAJWOBJTTGJROA-WZNAKSSCSA-N
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@@H]3[C@H]1CC2)=O)=O	4-Estren-3,17-dione	mol_1000.sdf	InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h10,13-16H,2-9H2,1H3/t13-,14+,15+,16-,18-/m0/s1	JRIZOGLBRPZBLQ-QXUSFIETSA-N
CC(C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)[O-]	3-oxo-23,24-bisnorchol-4-en-22-oate	mol_1001.sdf	InChI=1S/C22H32O3/c1-13(20(24)25)17-6-7-18-16-5-4-14-12-15(23)8-10-21(14,2)19(16)9-11-22(17,18)3/h12-13,16-19H,4-11H2,1-3H3,(H,24,25)/p-1	QETBTXOVEBTJQH-UHFFFAOYSA-M
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C)C([O-])=O	3-oxo-23,24-bisnorchola-1,4-diene-22-oate	mol_999.sdf	InChI=1S/C22H30O3/c1-13(20(24)25)17-6-7-18-16-5-4-14-12-15(23)8-10-21(14,2)19(16)9-11-22(17,18)3/h8,10,12-13,16-19H,4-7,9,11H2,1-3H3,(H,24,25)/p-1/t13-,16-,17+,18-,19-,21-,22+/m0/s1	OZESBBVMFLIODA-WAMTXRNCSA-M
CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O	5,6,7,8-tetrahydrobiopterin	mol_1010.sdf	InChI=1S/C9H15N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3-4,6,12,15-16H,2H2,1H3,(H4,10,11,13,14,17)	FNKQXYHWGSIFBK-UHFFFAOYSA-N
O=C(O)[C@@H](N)CC1=CC=C(O)C(O)=C1	L-Dopa	mol_1080.sdf	InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1	WTDRDQBEARUVNC-LURJTMIESA-N
N[C@@H](CC1=CC=C(C=C1)O)C(=O)O	L-tyrosine	mol_709.sdf	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	OUYCCCASQSFEME-QMMMGPOBSA-N
C1CCOC(C1)OC2=CC=C(C=C2)O	deoxyarbutin	mol_1081.sdf	InChI=1S/C11H14O3/c12-9-4-6-10(7-5-9)14-11-3-1-2-8-13-11/h4-7,11-12H,1-3,8H2	GFBCWCDNXDKFRH-UHFFFAOYSA-N
C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O	beta-arbutin	mol_1088.sdf	InChI=1S/C12H16O7/c13-5-8-9(15)10(16)11(17)12(19-8)18-7-3-1-6(14)2-4-7/h1-4,8-17H,5H2	BJRNKVDFDLYUGJ-UHFFFAOYSA-N
C(C=1C(N)=CC=CC1)(=O)N	anthranilamide	mol_1098.sdf	InChI=1S/C7H8N2O/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H2,9,10)	PXBFMLJZNCDSMP-UHFFFAOYSA-N
C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N	kynurenine	mol_1097.sdf	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	YGPSJZOEDVAXAB-UHFFFAOYSA-N
CC1(CC2C=C(C3C2(C1)C4(CO4)C(=O)OC3)C(=O)O)C	pentalenolactone F	mol_1102.sdf	InChI=1S/C15H18O5/c1-13(2)4-8-3-9(11(16)17)10-5-19-12(18)15(7-20-15)14(8,10)6-13/h3,8,10H,4-7H2,1-2H3,(H,16,17)	UUDKOVSZNMZKND-UHFFFAOYSA-N
CC1(C(N2C(S1)C(C2=O)NC(=O)CCCC(C(=O)O)N)C(=O)O)C	Penicillin N	mol_1106.sdf	InChI=1S/C14H21N3O6S/c1-14(2)9(13(22)23)17-10(19)8(11(17)24-14)16-7(18)5-3-4-6(15)12(20)21/h6,8-9,11H,3-5,15H2,1-2H3,(H,16,18)(H,20,21)(H,22,23)	MIFYHUACUWQUKT-UHFFFAOYSA-N
C(=O)(O)CCCCC(=O)N[C@H]1[C@H]2SC([C@@H](N2C1=O)C(=O)O)(C)C	adipyl 6-aminopenicillanic acid	mol_1104.sdf	InChI=1S/C14H20N2O6S/c1-14(2)10(13(21)22)16-11(20)9(12(16)23-14)15-7(17)5-3-4-6-8(18)19/h9-10,12H,3-6H2,1-2H3,(H,15,17)(H,18,19)(H,21,22)/t9-,10+,12-/m1/s1	XVGKDSRSKWWHJS-JFGNBEQYSA-N
CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C	penicillin G	mol_1105.sdf	InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)	JGSARLDLIJGVTE-UHFFFAOYSA-N
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C	ampicillin	mol_1103.sdf	InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)	AVKUERGKIZMTKX-UHFFFAOYSA-N
C(C)(=O)CC1(S[C@H]2N([C@H]1C(=O)O)C([C@H]2N)=O)C	acetyl-6-aminopenicillanic acid	mol_1107.sdf	InChI=1S/C10H14N2O4S/c1-4(13)3-10(2)6(9(15)16)12-7(14)5(11)8(12)17-10/h5-6,8H,3,11H2,1-2H3,(H,15,16)/t5-,6+,8-,10?/m1/s1	LRVWYEPPKIROMQ-CJKIYUCSSA-N
COC1=CC=C(C(=O)[O-])C=C1	4-Methoxybenzoate	mol_1212.sdf	InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)/p-1	ZEYHEAKUIGZSGI-UHFFFAOYSA-M
C[N+](C)(C)C(CC1=CN=CN1)C(=O)[O-]	hercynine	mol_1118.sdf	InChI=1S/C9H15N3O2/c1-12(2,3)8(9(13)14)4-7-5-10-6-11-7/h5-6,8H,4H2,1-3H3,(H-,10,11,13,14)	GPPYTCRVKHULJH-UHFFFAOYSA-N
NC1=CC=C(C(=O)[O-])C=C1	4-Aminobenzoate	mol_1125.sdf	InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)/p-1	ALYNCZNDIQEVRV-UHFFFAOYSA-M
CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	3-acetylpyridine adenine dinucleotide phosphate	mol_1128.sdf	InChI=1S/C22H29N6O17P3/c1-10(29)11-3-2-4-27(5-11)21-17(32)15(30)12(42-21)6-40-47(36,37)45-48(38,39)41-7-13-16(31)18(44-46(33,34)35)22(43-13)28-9-26-14-19(23)24-8-25-20(14)28/h2-5,8-9,12-13,15-18,21-22,30-32H,6-7H2,1H3,(H5-,23,24,25,33,34,35,36,37,38,39)/p+1	CWZSJEPJRFQEBR-UHFFFAOYSA-O
[Fe-3](C#N)(C#N)(C#N)(C#N)(C#N)C#N	ferricyanide	mol_507.sdf	InChI=1S/6CN.Fe/c6*1-2;/q;;;;;;-3	CRWNKXHVYMVLCY-UHFFFAOYSA-N
C1C=CC(=NC1C(=O)O)C(=O)O	2,3-dihydrodipicolinate	mol_1135.sdf	InChI=1S/C7H7NO4/c9-6(10)4-2-1-3-5(8-4)7(11)12/h1-2,5H,3H2,(H,9,10)(H,11,12)	UWOCFOFVIBZJGH-UHFFFAOYSA-N
C(=O)[O-]	formate	mol_1133.sdf	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1	BDAGIHXWWSANSR-UHFFFAOYSA-M
N1C(=O)NC=2N=CNC2C1=O	xanthine	mol_1142.sdf	InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)	LRFVTYWOQMYALW-UHFFFAOYSA-N
O(P([O-])(=O)OP(=O)([O-])[O-])C\C=C(\CO)/C	(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate	mol_1143.sdf	InChI=1S/C5H12O8P2/c1-5(4-6)2-3-12-15(10,11)13-14(7,8)9/h2,6H,3-4H2,1H3,(H,10,11)(H2,7,8,9)/p-3/b5-2+	MDSIZRKJVDMQOQ-GORDUTHDSA-K
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Fe+3]	Fe(III)-EDTA	mol_1127.sdf	InChI=1S/C10H16N2O8.Fe/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20;/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20);/q;+3/p-4	UOMQUZPKALKDCA-UHFFFAOYSA-J
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O	thiamine diphosphate	mol_1157.sdf	InChI=1S/C12H18N4O7P2S/c1-8-11(3-4-22-25(20,21)23-24(17,18)19)26-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H4-,13,14,15,17,18,19,20,21)/p+1	AYEKOFBPNLCAJY-UHFFFAOYSA-O
P(=O)([O-])([O-])[O-]	phosphate	mol_1156.sdf	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3	NBIIXXVUZAFLBC-UHFFFAOYSA-K
C(C=O)C(C(=O)O)N	L-aspartate-4-semialdehyde	mol_1160.sdf	InChI=1S/C4H7NO3/c5-3(1-2-6)4(7)8/h2-3H,1,5H2,(H,7,8)	HOSWPDPVFBCLSY-UHFFFAOYSA-N
N(C(=N)N)CCCC=O	4-guanidinobutyraldehyde	mol_1165.sdf	InChI=1S/C5H11N3O/c6-5(7)8-3-1-2-4-9/h4H,1-3H2,(H4,6,7,8)	VCOFTLCIPLEZKE-UHFFFAOYSA-N
NCCC=O	3-aminopropanal	mol_1168.sdf	InChI=1S/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2	PCXDJQZLDDHMGX-UHFFFAOYSA-N
C[N+](C)(C)CC=O	Betaine aldehyde	mol_531.sdf	InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1	SXKNCCSPZDCRFD-UHFFFAOYSA-N
NCCCC=O	4-aminobutanal	mol_1166.sdf	InChI=1S/C4H9NO/c5-3-1-2-4-6/h4H,1-3,5H2	DZQLQEYLEYWJIB-UHFFFAOYSA-N
O=CC(C(C(N)C)C)C	N,N,N-trimethyl-4-aminobutyraldehyde	mol_1167.sdf	InChI=1S/C7H15NO/c1-5(4-9)6(2)7(3)8/h4-7H,8H2,1-3H3	BKNOJWGEMDAPNF-UHFFFAOYSA-N
NCCCC=O	4-Aminobutyraldehyde	mol_1169.sdf	InChI=1S/C4H9NO/c5-3-1-2-4-6/h4H,1-3,5H2	DZQLQEYLEYWJIB-UHFFFAOYSA-N
C(CC)(=O)NCCC=O	3-propionylaminopropanal	mol_1185.sdf	InChI=1S/C6H11NO2/c1-2-6(9)7-4-3-5-8/h5H,2-4H2,1H3,(H,7,9)	PSVPZRHKRRBGFX-UHFFFAOYSA-N
C(CCC)(=O)NCCCC=O	4-butyrylaminobutanal	mol_1183.sdf	InChI=1S/C8H15NO2/c1-2-5-8(11)9-6-3-4-7-10/h7H,2-6H2,1H3,(H,9,11)	JVFKYQZDMIPFLA-UHFFFAOYSA-N
CC(C=O)(CCN)C	2,2-dimethyl-4-aminobutanal	mol_1177.sdf	InChI=1S/C6H13NO/c1-6(2,5-8)3-4-7/h5H,3-4,7H2,1-2H3	QJTVKJRQTPREAE-UHFFFAOYSA-N
C(CCCC)(=O)NCCCC=O	4-valerylaminobutanal	mol_1184.sdf	InChI=1S/C9H17NO2/c1-2-3-6-9(12)10-7-4-5-8-11/h8H,2-7H2,1H3,(H,10,12)	YAIZACYZFZYESS-UHFFFAOYSA-N
CC(C=O)CCNC(CC)=O	2-methyl-4-propionylaminobutanal	mol_1179.sdf	InChI=1S/C8H15NO2/c1-3-8(11)9-5-4-7(2)6-10/h6-7H,3-5H2,1-2H3,(H,9,11)	KTAJVPCZXQAQPC-UHFFFAOYSA-N
CC(C=O)CNC(CCC)=O	2-methyl-3-butyrylaminopropanal	mol_1180.sdf	InChI=1S/C8H15NO2/c1-3-4-8(11)9-5-7(2)6-10/h6-7H,3-5H2,1-2H3,(H,9,11)	MFFNUBFEOVSAPI-UHFFFAOYSA-N
N(C(=O)C)CCC=O	3-acetaminopropanal	mol_1176.sdf	InChI=1S/C5H9NO2/c1-5(8)6-3-2-4-7/h4H,2-3H2,1H3,(H,6,8)	ARJPPNFIEQKVBB-UHFFFAOYSA-N
CC(C=O)(CNC(CC)=O)C	2,2-dimethyl-3-propionylaminopropanal	mol_1178.sdf	InChI=1S/C8H15NO2/c1-4-7(11)9-5-8(2,3)6-10/h6H,4-5H2,1-3H3,(H,9,11)	IGGDPQXSSVKDCJ-UHFFFAOYSA-N
CC(CC=O)NC(CCC)=O	3-methyl-3-butyrylaminopropanal	mol_1171.sdf	InChI=1S/C8H15NO2/c1-3-4-8(11)9-7(2)5-6-10/h6-7H,3-5H2,1-2H3,(H,9,11)	XZSBFCXSWLEZPZ-UHFFFAOYSA-N
CC(C=O)CNC(CC)=O	2-methyl-3-propionylaminopropanal	mol_1173.sdf	InChI=1S/C7H13NO2/c1-3-7(10)8-4-6(2)5-9/h5-6H,3-4H2,1-2H3,(H,8,10)	PEEZYNLYSAASFT-UHFFFAOYSA-N
C(CC)(=O)NCCCC=O	4-propionylaminobutanal	mol_1174.sdf	InChI=1S/C7H13NO2/c1-2-7(10)8-5-3-4-6-9/h6H,2-5H2,1H3,(H,8,10)	XVHHPOUFOALLIJ-UHFFFAOYSA-N
C(CCCC)(=O)NCCC=O	3-valerylaminopropanal	mol_1170.sdf	InChI=1S/C8H15NO2/c1-2-3-5-8(11)9-6-4-7-10/h7H,2-6H2,1H3,(H,9,11)	JGDONKIFNCFKBJ-UHFFFAOYSA-N
C(CCC)(=O)NCCC=O	3-butyrylaminopropanal	mol_1175.sdf	InChI=1S/C7H13NO2/c1-2-4-7(10)8-5-3-6-9/h6H,2-5H2,1H3,(H,8,10)	XTRBHTZQLFUJER-UHFFFAOYSA-N
N(C(=O)C)CCCC=O	4-acetaminobutanal	mol_1182.sdf	InChI=1S/C6H11NO2/c1-6(9)7-4-2-3-5-8/h5H,2-4H2,1H3,(H,7,9)	DDSLGZOYEPKPSJ-UHFFFAOYSA-N
C([C@@H](O)C)=O	(S)-lactaldehyde	mol_1187.sdf	InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3/t3-/m0/s1	BSABBBMNWQWLLU-VKHMYHEASA-N
P(OCCC=O)([O-])=O	3-oxopropyl phosphonate	mol_1202.sdf	InChI=1S/C3H7O4P/c4-2-1-3-7-8(5)6/h2,8H,1,3H2,(H,5,6)/p-1	FQLVIIMIIGAIRG-UHFFFAOYSA-M
P(=O)(O)(O)OCC(C=O)O	glyceraldehyde 3-phosphate	mol_1203.sdf	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)	LXJXRIRHZLFYRP-UHFFFAOYSA-N
P(=O)(O)(O)CC=O	phosphonoacetaldehyde	mol_1201.sdf	InChI=1S/C2H5O4P/c3-1-2-7(4,5)6/h1H,2H2,(H2,4,5,6)	YEMKIGUKNDOZEG-UHFFFAOYSA-N
[N+](=O)([O-])C=1C=C(C(=O)[O-])C=CC1	3-Nitrobenzoate	mol_1218.sdf	InChI=1S/C7H5NO4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)/p-1	AFPHTEQTJZKQAQ-UHFFFAOYSA-M
S1C(=CC=C1)C(=O)[O-]	Thiophene-2-carboxylate	mol_1211.sdf	InChI=1S/C5H4O2S/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)/p-1	QERYCTSHXKAMIS-UHFFFAOYSA-M
C1(=CC=CC=C1)C#CC(=O)[O-]	3-phenylprop-2-ynoate	mol_1207.sdf	InChI=1S/C9H6O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,(H,10,11)/p-1	XNERWVPQCYSMLC-UHFFFAOYSA-M
C(CCC)(=O)[O-]	Butanoate	mol_1216.sdf	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1	FERIUCNNQQJTOY-UHFFFAOYSA-M
C(CCCCCCCCCCCCCCCCC)(=O)[O-]	octadecanoate	mol_1214.sdf	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1	QIQXTHQIDYTFRH-UHFFFAOYSA-M
COC=1C=C(C(=O)[O-])C=CC1	3-Methoxybenzoate	mol_1219.sdf	InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)/p-1	XHQZJYCNDZAGLW-UHFFFAOYSA-M
C(C1=CC=CC=C1)(=O)[O-]	benzoate	mol_1213.sdf	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1	WPYMKLBDIGXBTP-UHFFFAOYSA-M
O=C(CC(=O)[O-])C1=CC=CC=C1	3-oxo-3-phenylpropanoate	mol_1215.sdf	InChI=1S/C9H8O3/c10-8(6-9(11)12)7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)/p-1	HXUIDZOMTRMIOE-UHFFFAOYSA-M
C1(=CC=CC=C1)[C@H]1[C@@H](C1)C(=O)[O-]	trans-2-phenylcyclopropane-1-carboxylate	mol_1208.sdf	InChI=1S/C10H10O2/c11-10(12)9-6-8(9)7-4-2-1-3-5-7/h1-5,8-9H,6H2,(H,11,12)/p-1/t8-,9+/m0/s1	AHDDRJBFJBDEPW-DTWKUNHWSA-M
C(CCCCCCC)(=O)[O-]	Octanoate	mol_1205.sdf	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/p-1	WWZKQHOCKIZLMA-UHFFFAOYSA-M
C1(=CC=CC=C1)CCC(=O)[O-]	3-Phenylpropionate	mol_1217.sdf	InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)/p-1	XMIIGOLPHOKFCH-UHFFFAOYSA-M
C1(=CC=CC=C1)/C=C/C(=O)[O-]	(E)-3-phenylprop-2-enoate	mol_1206.sdf	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/p-1/b7-6+	WBYWAXJHAXSJNI-VOTSOKGWSA-M
CC1=CC=C(C(=O)[O-])C=C1	4-Methylbenzoate	mol_1210.sdf	InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)/p-1	LPNBBFKOUUSUDB-UHFFFAOYSA-M
C(CCCCCCCCCCC)(=O)[O-]	dodecanoate	mol_1209.sdf	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1	POULHZVOKOAJMA-UHFFFAOYSA-M
C(CCCCCCCCC)=O	decanal	mol_1224.sdf	InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3	KSMVZQYAVGTKIV-UHFFFAOYSA-N
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C	all-trans-retinal	mol_1222.sdf	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3	NCYCYZXNIZJOKI-UHFFFAOYSA-N
C(CC)=O	propionaldehyde	mol_203.sdf	InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3	NBBJYMSMWIIQGU-UHFFFAOYSA-N
O=CC(O)CO	glyceraldehyde	mol_1226.sdf	InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2	MNQZXJOMYWMBOU-UHFFFAOYSA-N
C(\C=C\C1=CC(OC)=C(O)C(OC)=C1)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	sinapoyl-CoA	mol_1229.sdf	InChI=1S/C32H46N7O20P3S/c1-32(2,27(44)30(45)35-8-7-21(40)34-9-10-63-22(41)6-5-17-11-18(53-3)24(42)19(12-17)54-4)14-56-62(51,52)59-61(49,50)55-13-20-26(58-60(46,47)48)25(43)31(57-20)39-16-38-23-28(33)36-15-37-29(23)39/h5-6,11-12,15-16,20,25-27,31,42-44H,7-10,13-14H2,1-4H3,(H,34,40)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/b6-5+/t20-,25-,26-,27+,31-/m1/s1	RBFUWESMWRUGFY-GSNIOFLCSA-N
