EC_number	UniProt_ID	Organism_name	WT_structures	Mutant_structures	Structure_type
1.5.1.3	P0ABQ4	Escherichia coli	3QYL,3KFY,3QYO,3R33	8DAI,4NX7,4KJJ,5CC9,6CYV,4NX6,5UII,4KJK,4KJL,3DAU,5CCC,7D4X,4PDJ,1RA2,6RUM,7D4L,5UIH,7D3Z,7D6G,7D49,7LVC,4X5F,1RA3,4X5I,3QL3,1RX2,5Z6F,5Z6K,5Z6J,4X5J,4GH8,6XG5,1RC4,1RX9,5Z6L,5UIP,4X5H,4X5G,5UIO,1RX6,6XG4,1RB2,2ANQ,1RX4,1RX3,6RUL,5Z6M,1RB3,1RH3,7DFR,1DRE,2ANO,4FHB,1RX8,7MYM	Substrate+Cofactor
1.5.1.3	P13922	Plasmodium falciparum	-	1J3K,7F3Y,1J3J,1J3I,7CTW,3DG8,7F3Z,3DGA	Substrate+Cofactor
1.5.1.3	P16184	Pneumocystis carinii	2CD2,1E26,1CD2,3CD2	3NZB,4IXE,2FZI,4QJZ,4IXG,4IXF,4G8Z,3NZ9,3TD8,1DYR,1LY3,3NZA,3NZ6,2FZH,1LY4,1VJ3,1S3Y,1DAJ,1KLK	Substrate+Cofactor
1.5.1.3	Q54801	Streptococcus pneumoniae	-	3IX9	Substrate+Cofactor
1.5.1.3	Q60034	Thermotoga maritima	-	1D1G	Substrate+Cofactor
1.5.1.3	Q70YQ6	Moritella profunda	-	3IA4,2ZZA	Substrate+Cofactor
1.5.1.3	Q81R22	Bacillus anthracis	-	3S9U,3JWK,3E0B,3JVX,3SA2,3SAI,3DAT,3SA1,3JW3,3JWC,3JWF,3JWM,3JW5	Substrate+Cofactor
1.5.1.33	O76290	Trypanosoma brucei brucei	5IZC	2X9G,6RX6,2X9N,6RX0,2X9V,6TBX,7OPJ,5JDI,6GD4,6RX5,5JCX,6HNC,6GCP,6GDP,6GEY,6HNR,6GCQ,3GN2,3BMO,4WCD,5K6A,3BMQ,3MCV,4CM6,6GD0,4CLR,5JCJ,4CLD,6GDO,5JDC,6GEX,4CLE,4CM4,4CLH,4CMC,4CLX,4CMA,4CME,4CLO,4CMI,4CM9,4CM8,4CM7,4CM1,2WD7,2VZ0,6HOW,4WCF,6GCL,4CM3,4CMB,3BMN,4CM5,4CMK,4CMG,3GN1,2YHU,2WD8,6GCK,4CMJ,4CL8,2C7V,3BMC	Substrate+Cofactor
1.5.1.37	Q8GME2	Streptomyces globisporus	-	4R82	Substrate+Cofactor
1.5.1.38	P80644	Escherichia coli	-	6DQO,4PTZ,4PU0	Cofactor only
1.5.1.40	Q47RA9	Thermobifida fusca	5N2I	-	Cofactor only
1.5.1.5	P24186	Escherichia coli	-	5O28,5O2A,5O22	Substrate only
1.5.1.52	A0A0H3JT80	Staphylococcus aureus	-	6H3D,6H3F,6GMZ,6H31,6C4T	Substrate only
1.5.1.6	E3NZ06	Danio rerio	-	4QPD	Substrate+Cofactor
1.5.3.1	B9L163	Thermomicrobium roseum	-	7EXS	Cofactor only
1.5.3.1	P40859	Bacillus sp. (in: Bacteria)	-	2GF3,3QSE,1EL5,3QSS,1L9E,1EL7,1EL8,1L9D,1EL9,1ELI	Substrate+Cofactor
1.5.3.10	Q9AGP8	Arthrobacter globiformis	-	1PJ6,3GSI,1PJ7	Substrate+Cofactor
1.5.3.13	Q8C0L6	Mus musculus	5MBX,5LFO	-	Substrate+Cofactor
1.5.3.14	O64411	Zea mays	1B5Q,1H82,1H83,1H84,1H86	3KPF,3KU9,3L1R	Substrate+Cofactor
1.5.3.16	Q9NWM0	Homo sapiens	-	7OY0,7OXL	Substrate only
1.5.3.17	P50264	Saccharomyces cerevisiae	-	1RSG,4GDP,3BI4,3BNM,3BNU,3BI2,3CN8,3CNS,1Z6L,3BI5,3CND,3CNP,1XPQ,3CNT	Substrate+Cofactor
1.5.3.25	O42629	Aspergillus fumigatus	-	4WCT,4XWZ	Substrate only
1.5.3.25	P78573	Aspergillus fumigatus	-	3DJE,3DJD	Substrate only
1.5.3.5	A0A075BSX9	Shinella sp.	-	6CR0	Cofactor only
1.5.3.5	Q93NH4	Paenarthrobacter nicotinovorans	-	3K7M,3NG7,3K7Q,3NH3,3NK0,3NK1,3NGC,3NK2,3NN0,3K7T,3NHO	Substrate+Cofactor
1.5.5.2	Q72IB8	Thermus thermophilus	-	2EKG	Substrate+Cofactor
1.5.8.4	Q9UI17	Homo sapiens	-	5L46	Cofactor only
1.5.99.12	Q9T0N8	Zea mays	-	1W1O,3S1D,1W1Q,2QPM,3DQ0,3KJM,3S1E,1W1R,3BW7,3C0P,3S1F,1W1S,3S1C,2QKN	Substrate+Cofactor
1.6.2.2	P00387	Homo sapiens	-	1UMK,7TNV,7TSW,7W3O,7THG	Cofactor only
1.6.2.2	P20070	Rattus norvegicus	-	1QX4,1I7P,1IB0	Cofactor only
1.6.2.2	P83686	Sus scrofa	-	3W5H,5GV8,5GV7,3W2G,3W2H,3W2F,3W2I,3W2E,1NDH	Cofactor only
1.6.2.4	P16435	Homo sapiens	1B1C	3QFS,3QFT,3QE2,3QFC,5EMN,5FA6,3QFR,3FJO	Cofactor only
1.6.5.10	P23457	Rattus norvegicus	-	1AFS	Substrate+Cofactor
1.6.5.2	A1B9E3	Paracoccus denitrificans	-	3U7R	Substrate+Cofactor
1.6.5.2	P0A8G6	Escherichia coli	3B6I,3B6M,3B6K,3B6J	3ZHO,4YQE,5F12,2R96	Substrate+Cofactor
1.6.5.2	P15559	Homo sapiens	-	1KBQ,1H69,1H66,5FUQ,5A4K,4CET,1KBO,3JSX,1DXO,1GG5,6LLC,4CF6,2F1O,6FY4,5EAI	Substrate+Cofactor
1.6.5.2	P39315	Escherichia coli	-	2ZCV	Cofactor only
1.7.1.3	P49050	Ogataea angusta	-	2BII,2BIH	Substrate only
1.7.1.6	P41407	Escherichia coli	-	2Z98,2Z9B,7N2X,1V4B,2Z9C	Substrate+Cofactor
1.7.1.6	Q831B2	Enterococcus faecalis	-	2HPV	Substrate+Cofactor
1.7.1.6	Q9I5F3	Pseudomonas aeruginosa	2V9C	4N65,4N9Q,3R6W,3KEG,3LT5	Substrate+Cofactor
1.7.1.7	P36959	Homo sapiens	-	2BLE,2BWG	Substrate only
1.7.1.7	Q57ZS7	Trypanosoma brucei brucei	-	6JIG,6LK4	Substrate only
1.7.1.7	Q9P2T1	Homo sapiens	-	2C6Q	Substrate+Cofactor
1.7.2.1	B2UHR8	Ralstonia pickettii	-	3ZIY,2YQB,4AX3,3ZBM	Cofactor only
1.7.2.1	P24474	Pseudomonas aeruginosa	6TPO,1NIR,1NNO,1GJQ,1BL9,5GUW	1HZV	Substrate+Cofactor
1.7.2.1	Q5L1X8	Geobacillus kaustophilus	-	3WI9,3WIA	Substrate only
1.7.2.1	Q5VT66	Homo sapiens	-	6FW2	Substrate only
1.7.2.2	P0ABK9	Escherichia coli	2RDZ,3TOR,3L1T	2RF7,4WJY	Substrate+Cofactor
1.7.2.2	Q8EAC7	Shewanella oneidensis	-	6P73,3UBR	Cofactor only
1.7.2.2	Q8VNU2	Desulfovibrio desulfuricans	1OAH	-	Cofactor only
1.7.2.2	Q9S1E5	Wolinella succinogenes	2E80,1FS7,1FS8,3BNF,2E81,1FS9	3BNJ,3BNG,3BNH	Substrate+Cofactor
1.7.2.3	O87948	Shewanella massilia	1TMO	-	Substrate+Cofactor
1.7.2.4	P94127	Achromobacter cycloclastes	2IWK,2IWF	-	Substrate only
1.7.2.9	Q1PX48	Candidatus Kuenenia stuttgartiensis	4N4J,4RWM,4N4L,4N4M,4N4K	-	Substrate only
1.7.3.1	B2AM55	Podospora anserina	-	3MKH	Cofactor only
1.7.3.1	Q8X1D8	Fusarium oxysporum	-	2C12,3D9D,3D9G,2C0U,3D9E,3D9F,3FCJ	Substrate+Cofactor
1.7.3.3	D0VWQ1	Arthrobacter globiformis	2YZC,2YZB,2YZE,2YZD	6OE8	Substrate only
1.7.3.3	Q00511	Aspergillus flavus	6IC1,5FRC,6RGM,6I9Z,2PES,6I9X,1R4U,6IA3,1R51,2ICQ,1R4S,2FUB,1R56,6IA1	3L8W,4N9S,4POE,4N9V,4PR8,4CW6,4PUV,4D17,4D13,4OQC,4CW2,7A0L,4CW3,4D19,3LD4,4D12,3P9O,3LBG,3OBP,4CW0,2IBA,4OP9,3PLE,6RGT,3BK8,3GKO,3PLG,3PKG,2ZKB,2ZKA,3PLM,7PWN,1WRR,4OP6,3PKF,3PK8,3PK3,3PLI,3P9F,3CKU,3CKS,3PJK,3PKH,3PLJ,3PKK,3PKL,3PKT,3L9G,3PKU,3PKS,3PK5,2FXL,2IC0,3PLH,3PK6,3F2M,3BJP,3PK4,7PUF,7P0G,4N3M,4FSK,1XT4,4N9M,7P0C,7Q09,7P0D,1WS2,1XXJ,1XY3,1WS3	Substrate only
1.7.7.1	Q76KA9	Nicotiana tabacum	-	3B0H	Substrate+Cofactor
1.7.7.1	Q76KB0	Nicotiana tabacum	-	3B0G,3VKT,3VLX,3VKP,3VKS,3VM1,3VLY,3VKQ,3VKR,3VM0,3B0J,3B0L,3B0M,3B0N,3VLZ	Substrate+Cofactor
1.8.1.12	A4HSF7	Leishmania infantum	5EBK	6T95,6T97,2W0H,6T98,4APN,6I7N,6ER5,2YAU,4ADW	Substrate+Cofactor
1.8.1.12	P39051	Trypanosoma brucei	-	2WBA	Substrate+Cofactor
1.8.1.14	O58308	Pyrococcus horikoshii	-	4FX9,5L1N	Cofactor only
1.8.1.14	Q2FIA5	Staphylococcus aureus	-	4EQS,4EQW,4EQX,4EQR,4EM4,4EM3,4EMW	Cofactor only
1.8.1.14	Q72HK3	Thermus thermophilus	-	6RVH	Substrate+Cofactor
1.8.1.4	P09622	Homo sapiens	6I4R,6I4P,6I4Q,6HG8,6I4T,6I4U,5NHG,7ZYT	3RNM,7PSC	Substrate+Cofactor
1.8.1.5	Q56839	Xanthobacter autotrophicus	1MO9,3Q6J,2C3C,2C3D	7MGN,7MGO	Substrate+Cofactor
1.8.1.7	P00390	Homo sapiens	2GH5,1DNC,1GSN,5GRT,3GRT,4GRT	1K4Q,1XAN,1GRF,1GRG,1BWC,3SQP,4GR1,2AAQ,1GRH	Substrate+Cofactor
1.8.1.7	P41921	Saccharomyces cerevisiae	-	2HQM	Substrate+Cofactor
1.8.1.9	A9LN30	Hordeum vulgare subsp. vulgare	-	2WHD	Substrate+Cofactor
1.8.1.9	O89049	Rattus norvegicus	-	4KPR	Substrate+Cofactor
1.8.1.9	P91938	Drosophila melanogaster	-	3DGH,3DH9,2NVK	Cofactor only
1.8.1.9	Q39243	Arabidopsis thaliana	-	1VDC	Cofactor only
1.8.1.9	Q9JLT4	Mus musculus	-	3DGZ	Substrate+Cofactor
1.8.2.1	Q9LA16	Starkeya novella	-	2BLF,2C9X,2BPB,2CA3,2CA4	Cofactor only
1.8.2.2	D3RVD4	Allochromatium vinosum	4V2K	4WQD,4WQ8,4WQE,4WQ9,4WQB,4WQC,4WQA,4WQ7	Substrate+Cofactor
1.8.3.1	P07850	Gallus gallus	1SOX	2A9D,3HBG,2A9A,3R19,2A99,3HBP,3R18,2A9B,2A9C,3HBQ	Substrate+Cofactor
1.8.3.1	P51687	Homo sapiens	-	1MJ4	Cofactor only
1.8.3.2	P41480	Autographa californica nucleopolyhedrovirus	-	3P0K,3QZY	Substrate+Cofactor
1.8.3.2	Q585M6	Trypanosoma brucei	-	3QCP,3QD9	Cofactor only
1.8.3.7	D1A7C3	Thermomonospora curvata	5NYY	6S07,6XTR,6XTS,6XTM,6XTN,6XTO,6XTQ,6XTL,6XTP	Substrate only
1.8.3.7	D1ADF2	Thermomonospora curvata	-	6S07,6XTR,6XTS,6XTM,6XTN,6XTO,6XTQ,6XTL,6XTP	Substrate only
1.8.3.7	Q9F3C7	Thermomonospora curvata	-	6MUJ	Substrate only
1.8.4.10	Q8L5D0	Physcomitrium patens	-	4BWV	Substrate only
1.8.4.11	A8MI53	Alkaliphilus oremlandii	-	4LWL,4W8C,4LWJ,4LWM	Substrate only
1.8.4.11	P0A744	Escherichia coli	1FF3	-	Substrate only
1.8.4.11	Q73PT7	Treponema denticola	-	5FA9	Substrate only
1.8.4.14	Q9HJW5	Thermoplasma acidophilum	-	4MN7	Substrate only
1.8.4.2	A8IYH1	Chlamydomonas reinhardtii	7NCV,7NCW	-	Substrate only
1.8.5.1	A8I0K9	Chlamydomonas reinhardtii	-	3QAG	Apo only
1.8.5.1	Q9H4Y5	Homo sapiens	-	3QAG	Substrate+Cofactor
1.8.5.3	Q52675	Rhodobacter capsulatus	1DMR,1DMS,1E61,4DMR,1E18,1E60,1H5N,1E5V,3DMR,2DMR	-	Substrate only
1.8.5.3	Q57366	Cereibacter sphaeroides	-	1EU1	Substrate+Cofactor
1.8.5.4	B7JBP8	Acidithiobacillus ferrooxidans	-	3SX6,3SY4,3T0K,3KPK,3SZF,3SZ0,3SXI,3SZC,3SZW,3SYI,3T14,3T2Z,3T31,3T2K,3T2Y	Substrate+Cofactor
1.8.5.4	Q9Y6N5	Homo sapiens	-	6OIB,6OIC,6WH6,8DHK,6OI6,6MO6,6OI5,6MP5	Substrate+Cofactor
1.8.5.7	P42620	Escherichia coli	-	3R3E,4G0K,4G0L	Substrate only
2.1.1.1	P40261	Homo sapiens	-	7BKG,7NBQ,5YJF,7ET7,3ROD,7EU5,7BLE	Substrate+Cofactor
2.1.1.10	Q47690	Escherichia coli	-	5DMM	Substrate only
2.1.1.103	Q944H0	Arabidopsis thaliana	-	5WP5	Cofactor only
2.1.1.103	Q9FR44	Arabidopsis thaliana	-	5WP4	Substrate+Cofactor
2.1.1.104	Q6YI95	Mesembryanthemum crystallinum	-	3C3Y	Cofactor only
2.1.1.127	Q43088	Pisum sativum	-	2H23,2H2J,1P0Y,2H2E,1MLV,1OZV	Substrate+Cofactor
2.1.1.14	P82610	Candida albicans	-	4L6H,4L6O,4L61,4L5Z,4L64,4L65,4QQU	Substrate only
2.1.1.140	Q948P7	Coptis japonica	-	6GKV,6GKZ,6GKY	Substrate+Cofactor
2.1.1.146	O04385	Clarkia breweri	-	5CVV,5CVJ,5CVU,3REO,3TKY	Substrate+Cofactor
2.1.1.15	B2HHT4	Mycobacterium marinum	-	5F2K,5F2O,5F2N	Substrate+Cofactor
2.1.1.164	Q8KZ94	Lentzea aerocolonigenes	-	3BUS	Substrate+Cofactor
2.1.1.176	P36929	Escherichia coli	-	1SQF	Cofactor only
2.1.1.177	P0A8I8	Escherichia coli	-	1NS5,5TWK,5TWJ	Substrate only
2.1.1.184	P13956	Bacillus subtilis	-	1QAN,1QAO,1QAQ	Cofactor only
2.1.1.190	P55135	Escherichia coli	2BH2	-	Substrate+Cofactor
2.1.1.2	P10868	Rattus norvegicus	-	1XCJ,1XCL,1P1C	Substrate+Cofactor
2.1.1.20	P13255	Rattus norvegicus	3THR	3THS,2IDK	Substrate only
2.1.1.200	P0AE01	Escherichia coli	-	4CNE	Substrate+Cofactor
2.1.1.22	Q8N4J0	Homo sapiens	-	5YF0,5YF1,5YF2	Substrate+Cofactor
2.1.1.221	O14214	Schizosaccharomyces pombe	-	4JWF	Substrate+Cofactor
2.1.1.221	Q12400	Saccharomyces cerevisiae	-	4JWJ	Substrate+Cofactor
2.1.1.221	Q5JD38	Thermococcus kodakarensis	-	6EMT	Substrate only
2.1.1.221	Q8TBZ6	Homo sapiens	-	4FMW	Substrate+Cofactor
2.1.1.228	P0A873	Escherichia coli	-	1P9P	Cofactor only
2.1.1.228	Q02RL6	Pseudomonas aeruginosa	-	5WYQ,5WYR	Cofactor only
2.1.1.228	Q58293	Methanocaldococcus jannaschii	-	2YX1,2ZZM	Substrate+Cofactor
2.1.1.234	Q9ZGH6	Streptomyces venezuelae	-	3BXO	Substrate+Cofactor
2.1.1.235	P95748	Streptomyces fradiae	-	3PFG,6M83,6M82,4OQD,3PX2,6M81,3PFH,3PX3,4OQE	Substrate+Cofactor
2.1.1.244	Q9BV86	Homo sapiens	-	5E1D,5E1B,5E1M,5E2A,5E2B,5E1O,7K3D,7SS1,7U1M	Substrate+Cofactor
2.1.1.255	Q9F1Y5	Streptomyces coelicolor	-	3VC1,3VC2	Substrate+Cofactor
2.1.1.269	Q4FP21	Candidatus Pelagibacter ubique	-	3TFI	Substrate only
2.1.1.273	Q9SPV4	Clarkia breweri	-	1M6E	Substrate+Cofactor
2.1.1.278	Q9FLN8	Arabidopsis thaliana	-	3B5I	Cofactor only
2.1.1.28	P11086	Homo sapiens	-	2G72,3KQS,7TWU,2G8N,2AN3,2AN4,2G71,3KQY,3HCC,3KQV,3KR1,2OBF,3KR2,3HCD,3KQT,1HNN,3KQP,3KQO,3KQM,3KPY,1YZ3,3KPV,3KPU,3HCB,3HCA,2G70,3KPW,4DM3,3KQW,2AN5,3KQQ,3KR0,2ONY,1N7J,3HCF,6WS1,1N7I,2OPB,2ONZ,3HCE	Substrate+Cofactor
2.1.1.292	Q06528	Streptomyces peucetius	4WXH	7PHD,5EEH,5JR3,7PGJ,5EEG,1TW3,7OWB,1TW2,7PGA	Substrate only
2.1.1.300	C3SBW0	Thalictrum flavum subsp. glaucum	-	5KPG,5KOK,5KOC,5KPC	Substrate only
2.1.1.303	Q84HC8	Streptomyces carzinostaticus	-	3I53,3I5U,3I58,3I64	Substrate only
2.1.1.316	Q9X5T6	Streptomyces lavendulae	-	3GWZ,3GXO	Substrate only
2.1.1.319	O60678	Homo sapiens	-	2FYT,3SMQ,8G2G,8G2F,4QQN,4RYL,4HSG	Substrate only
2.1.1.319	Q99873	Homo sapiens	-	6NT2	Substrate only
2.1.1.321	Q922X9	Mus musculus	4C4A	6OGN	Substrate only
2.1.1.341	G2IQS7	Sphingobium sp.	-	5X1L,5X1M,5X1N	Substrate+Cofactor
2.1.1.356	O41094	Paramecium bursaria Chlorella virus 1	3KMT	-	Substrate only
2.1.1.357	Q9NR48	Homo sapiens	-	6WZW,6X0P,4YNM,4YPE,4YPA,4YPU,6INE,3OPE,4YNP,6AGO	Substrate only
2.1.1.359	Q9BYW2	Homo sapiens	-	5JLB,5LT7,5LT8,5LSY,5LSZ,6J9J,5LSS,7LZD,5LT6,5JJY,4H12,4FMU,7LZB,6VDB,7TY3,5V22,5JLE,5V21,7TY2,7LZF,5LSX,7EA8	Substrate only
2.1.1.359	Q9NQV7	Homo sapiens	-	4IJD,6NM4	Substrate only
2.1.1.365	K5B7F3	Mycolicibacterium hassiacum	-	6H40,6G7D,6G80	Substrate only
2.1.1.366	Q15047	Homo sapiens	-	6BHD,6BHE,6BHI,6BHG,5KCO,5KE2,5QT1,5QT2,4X3S,7CD9,6AU2,6BPI,5KCH,5KE3,6AU3,6BHH,5KH6,7CAJ,7C9N,7CJT	Substrate only
2.1.1.369	B9RU15	Ricinus communis	-	5VAC,4O30,5VBC,5VA6,5VAH	Substrate only
2.1.1.37	O88508	Mus musculus	-	3SWC	Substrate only
2.1.1.37	P20589	Haemophilus aegyptius	-	3UBT	Substrate only
2.1.1.37	P26358	Homo sapiens	-	6X9I,7SFG,3SWR	Substrate+Cofactor
2.1.1.45	P04818	Homo sapiens	-	6QYQ,6R2E	Substrate+Cofactor
2.1.1.45	P0A884	Escherichia coli	1TSN,1TLS	3BHL,1KZI,3BHR	Substrate+Cofactor
2.1.1.45	P9WFR9	Mycobacterium tuberculosis	-	4FOG	Substrate+Cofactor
2.1.1.5	O09171	Rattus norvegicus	1UMY	-	Substrate only
2.1.1.5	Q93088	Homo sapiens	-	4M3P,1LT8,1LT7	Substrate only
2.1.1.50	B2KPR3	Catharanthus roseus	-	6C8R	Substrate+Cofactor
2.1.1.6	O42898	Schizosaccharomyces pombe	-	5ZY6	Cofactor only
2.1.1.63	Q97VW7	Saccharolobus solfataricus	4ZYE,6GA0	4ZYG	Substrate only
2.1.1.72	P0AEE8	Escherichia coli	-	4RTJ	Substrate+Cofactor
2.1.1.72	P14385	Thermus aquaticus	-	2IH2,2IBT,2IH5,2JG3,2NP7,1G38,2IH4,2NP6,2IBS	Substrate only
2.1.1.72	P14751	Cereibacter sphaeroides	-	1EG2	Substrate only
2.1.1.72	P23192	Moraxella bovis	-	1G60	Cofactor only
2.1.1.79	Q5FJM0	Lactobacillus acidophilus	-	5Z9O	Substrate only
2.1.1.8	P50135	Homo sapiens	-	2AOT,1JQE,1JQD	Substrate+Cofactor
2.1.1.85	Q86TU7	Homo sapiens	-	6MBK,6OX0,6WK2,6MBJ,6OX3,6WK1,6OX1,6V63,3SMT,6OX2,6OX5,6MBL,6OX4,6V62,6JAT	Substrate+Cofactor
2.1.2.1	P07511	Oryctolagus cuniculus	-	1RV3,1LS3	Substrate+Cofactor
2.1.2.1	P0A825	Escherichia coli	-	1DFO,1EQB	Substrate+Cofactor
2.1.2.1	P34896	Homo sapiens	-	6M5W	Substrate+Cofactor
2.1.2.1	P34897	Homo sapiens	-	6QVL,6QVG	Substrate+Cofactor
2.1.2.1	Q7SIB6	Geobacillus stearothermophilus	2W7F,2VMQ,2W7E,2VMR,2VMT,2VMP,2VMO,2W7G	2W7H,2VIA,2W7J,2VMZ,2VMW,2VGU,2VMX,2VMU,2VIB,2VGW,2W7M,2VGT,1KL1,1KKP,1YJS,2VI9,2VMS,1YJY,2VGV,2W7L,2W7K,2VMY,1KL2	Substrate+Cofactor
2.1.3.3	P04391	Escherichia coli	2OTC	1DUV	Substrate only
2.2.1.1	P29401	Homo sapiens	-	4KXV,4KXW,4KXU,4KXX,6HA3,6RJB,4KXY,3MOS,3OOY	Substrate+Cofactor
2.2.1.1	P34736	Scheffersomyces stipitis	-	5XVT,5XUF,5XTV,5XSM,5XU2,5XS6,5HYV,5XT4,5XPS,5XQK,5XQA,5XT0,5HJE,5XRV,5I51,5I5E	Substrate+Cofactor
2.2.1.1	Q8MPM3	Leishmania mexicana	-	1R9J	Cofactor only
2.2.1.2	P0A870	Escherichia coli	1UCW	4S2B,4RZ6,4S2C	Substrate only
2.2.1.2	Q9HKI3	Thermoplasma acidophilum	-	6YR3,3S1X,6YRT,6YRM,6YS0,3S1V,3S1W,4XZ9,6YRH,3S1U	Substrate only
2.2.1.7	P77488	Escherichia coli	-	2O1S	Substrate+Cofactor
2.2.1.7	Q9RUB5	Deinococcus radiodurans	-	6OUV,6OUW,2O1X	Cofactor only
2.2.1.9	P17109	Escherichia coli	2JLA	5EJ8,5EJ9,5EJ4,5Z2P,5Z2R,5Z2U	Substrate+Cofactor
2.2.1.9	P23970	Bacillus subtilis	-	2X7J	Substrate+Cofactor
2.3.1.108	Q5SQI0	Homo sapiens	4PK3,4PK2	3VWD,4IF5,4GS4	Substrate+Cofactor
2.3.1.151	L7NCQ3	Garcinia mangostana	-	7CBF	Substrate only
2.3.1.157	A5U161	Mycobacterium tuberculosis	-	2GGQ	Apo only
2.3.1.157	Q975F9	Sulfurisphaera tokodaii	-	2GGQ,5Z0A,5Z09	Substrate only
2.3.1.159	A3E7Z7	Huperzia serrata	-	3AWJ	Substrate+Cofactor
2.3.1.159	U3KRF0	Citrus x microcarpa	-	3WD7	Cofactor only
2.3.1.16	P42765	Homo sapiens	-	4C2J	Substrate+Cofactor
2.3.1.161	Q9Y8A5	Aspergillus terreus	-	7CPX,7CPY	Cofactor only
2.3.1.177	K9MST3	Malus domestica	-	5WC4	Substrate+Cofactor
2.3.1.183	Q9HUU7	Pseudomonas aeruginosa	-	1YVO,2BL1	Substrate only
2.3.1.203	Q5FAE1	Neisseria gonorrhoeae	-	4M99	Substrate only
2.3.1.212	Q94FV7	Rheum palmatum	-	3A5R	Substrate only
2.3.1.217	C0SVZ6	Curcuma longa	-	3OV2,3OV3	Substrate only
2.3.1.233	Q9FCA7	Streptomyces coelicolor	-	1U0M	Substrate only
2.3.1.238	Q9Y7D1	Aspergillus terreus	-	4LCL,3HLC,3HLD,3HLF,3HLG,3HLE	Substrate only
2.3.1.247	B0VHH0	Candidatus Cloacimonas acidaminovorans	-	2Y7E,2Y7G,2Y7F	Substrate only
2.3.1.248	O80467	Arabidopsis thaliana	-	6LPW	Substrate only
2.3.1.255	O74985	Schizosaccharomyces pombe	-	4KVM,4KVO	Cofactor only
2.3.1.255	Q980R9	Saccharolobus solfataricus	-	4R3L,2X7B,4LX9,4R3K,6AG4,6AG5,5C88	Cofactor only
2.3.1.258	Q9GZZ1	Homo sapiens	-	6WFN,2OB0,6WFO,6WFK,2PSW,6WFG,6WF3,6PPL,6PW9	Substrate+Cofactor
2.3.1.271	E9P8D2	Saccharomyces cerevisiae	-	3W6S,3W91,3W6X	Substrate only
2.3.1.274	P71018	Bacillus subtilis	-	1VI1	Substrate only
2.3.1.286	Q8IE47	Plasmodium falciparum	-	3U31,3U3D,3JWP	Substrate only
2.3.1.286	Q8IXJ6	Homo sapiens	5D7O,7BOS,7BOT,5D7P,5MAR,5DY5,5D7Q,5MAT,5FYQ	4RMH,4RMI,5YQO,4X3O,5YQN,4Y6O,4Y6L,5YQL,3ZGO,5YQM,5DY4,6L65,4X3P,4RMJ,4RMG,4Y6Q,5Y0Z,5G4C,4R8M,6L71,6L66,6QCN,3ZGV,5Y5N,6NR0,6L72,4L3O	Substrate only
2.3.1.30	Q401L4	Entamoeba histolytica	-	7BW9	Substrate only
2.3.1.4	Q17427	Caenorhabditis elegans	4AG9	-	Substrate+Cofactor
2.3.1.4	Q96EK6	Homo sapiens	-	2O28	Substrate+Cofactor
2.3.1.46	P07623	Escherichia coli	-	7CBE,6MTG	Substrate only
2.3.1.47	P12998	Escherichia coli	1DJ9	2G6W	Substrate only
2.3.1.48	O14929	Homo sapiens	-	6VO5,2P0W	Substrate+Cofactor
2.3.1.48	Q07794	Saccharomyces cerevisiae	-	2ZFN,3CZ7,3Q33,3QM0,3Q35	Substrate+Cofactor
2.3.1.48	Q08649	Saccharomyces cerevisiae	-	3TO7,3TO9,1MJA,1MJB,5J9W	Substrate+Cofactor
2.3.1.48	Q09472	Homo sapiens	-	6PGU,6V8K,4PZS,5LKT,4PZR,6PF1,5LKX,4PZT	Substrate+Cofactor
2.3.1.48	Q92830	Homo sapiens	-	5H84,5H86	Substrate+Cofactor
2.3.1.48	Q9H7Z6	Homo sapiens	-	2PQ8,5WCI,2GIV,6BA4,2Y0M	Substrate+Cofactor
2.3.1.5	O86309	Mycolicibacterium smegmatis	1W6F	-	Substrate only
2.3.1.5	P11245	Homo sapiens	-	2PFR	Substrate+Cofactor
2.3.1.5	P18440	Homo sapiens	-	2IJA,2PQT	Substrate only
2.3.1.50	A7BFV6	Sphingobacterium multivorum	-	3A2B	Substrate+Cofactor
2.3.1.50	Q93UV0	Sphingomonas paucimobilis	-	4BMK	Substrate+Cofactor
2.3.1.7	P43155	Homo sapiens	-	1S5O	Substrate only
2.3.1.7	P47934	Mus musculus	-	1T7Q,2H3U,2H3W,2H3P	Substrate+Cofactor
2.3.1.74	K9MUA0	Malus domestica	-	5UC5	Substrate only
2.3.1.8	B2RK03	Porphyromonas gingivalis	-	6IOX	Cofactor only
2.3.1.8	P0A9M8	Escherichia coli	-	7T85,7T88	Substrate only
2.3.1.8	P38503	Methanosarcina thermophila	-	2AF4	Substrate+Cofactor
2.3.1.81	Q51405	Pseudomonas aeruginosa	-	6MB9	Substrate+Cofactor
2.3.1.82	A0A059WZ16	uncultured bacterium	-	5F47,5U08	Substrate only
2.3.1.82	Q44057	Acinetobacter haemolyticus	-	4EVY	Substrate only
2.3.1.82	Q47764	Enterococcus faecium	-	5E96	Substrate only
2.3.1.85	P19096	Mus musculus	-	6ROP,5MY0	Substrate+Cofactor
2.3.1.87	A0QY29	Mycolicibacterium smegmatis	-	4QB9	Substrate only
2.3.1.87	P9WFK7	Mycobacterium tuberculosis	-	3R1K,5IV0,5EBV,5EC4,5TVJ,6B3T,3RYO,4JD6	Substrate+Cofactor
