EC_number	UniProt_ID	Organism_name	Substrate_only	Cofactor_only	Substrate+Cofactor	Apo_structures
1.3.5.2	Q02127	Homo sapiens	5TCE_A	-	2FQI_A,2PRL_A,5ZF9_A,7Z6C_A,5K9C_A,8DHH_A,6CJF_A,6CJF_B,4ZL1_A,4OQV_A,2WV8_A,3U2O_A,6IDJ_A,5HIN_A,5K9D_A,4RR4_A,3KVK_A,5MVC_A,4LS0_A,6J3C_A,4YLW_A,5MVD_A,6LP8_A,5ZF4_A,6J3B_A,3W7R_A,2FPT_A,1D3G_A,5HQE_A,3G0X_A,4IGH_A,6FMD_A,6GK0_A,6ET4_A,6QU7_A,4RLI_A,5ZF7_A,8DHG_A,3F1Q_A,1D3H_A,2PRH_A,5H73_A,6VND_A,2B0M_A,6LZL_A,3KVL_A,4RK8_A,6OC1_A,6M2B_A,3ZWS_A,2FPY_A,6LP6_A,6JME_A,6CJG_A,4JTT_A,7K2U_A,3G0U_A,5ZFB_A,3KVJ_A,4ZMG_A,5ZFA_A,5MUT_A,3FJ6_A,4RKA_A,4JTS_A,8DHF_A,4JTU_A,6JMD_A,2BXV_A,5ZF8_A,6LP7_A,2PRM_A,4JGD_A,3FJL_A,4LS1_A,3ZWT_A,4LS2_A,3KVM_A,5H2Z_A,4JS3_A,2FPV_A,6OC0_A	-
1.3.8.12	A1B5Y0	Paracoccus denitrificans	-	-	6ES9_A,6ES9_B	-
1.3.8.4	P26440	Homo sapiens	-	-	1IVH_A,1IVH_B,1IVH_C,1IVH_D	-
1.3.8.6	Q92947	Homo sapiens	-	1SIQ_A	2R0M_A,2R0N_A,1SIR_A	-
1.3.98.5	Q8Y5F1	Listeria monocytogenes	6FXJ_A,6FXJ_B,6FXJ_C,6FXJ_D,6FXJ_E,6FXQ_A,6FXQ_B,6FXQ_C,6FXQ_D,6FXQ_E,5LOQ_A,5LOQ_B,5LOQ_C,5LOQ_D,5LOQ_E	-	-	4WWS_A,4WWS_B,4WWS_C,4WWS_D,4WWS_E
1.3.99.17	P72222	Pseudomonas putida	1T3Q_A,1T3Q_D	1T3Q_C,1T3Q_F	1T3Q_B,1T3Q_E	-
1.3.99.33	Q8CVD0	Shewanella oneidensis	6T85_A	6T86_A	6T87_A,6T88_A	-
1.3.99.4	A9XWD7	Sterolibacterium denitrificans	-	-	7P18_A,7P18_B	-
1.3.99.4	Q9RA02	Rhodococcus erythropolis	4C3X_I,4C3X_J,4C3X_K,4C3X_L,4C3X_M,4C3X_N,4C3X_O,4C3X_P,4C3X_Q,4C3X_R,4C3X_S,4C3X_T	-	4C3X_A,4C3X_B,4C3X_C,4C3X_D,4C3X_E,4C3X_F,4C3X_G,4C3X_H,4C3Y_A,4C3Y_B,4C3Y_C,4C3Y_D,4C3Y_E,4C3Y_F,4C3Y_G,4C3Y_H,8JOJ_A	-
1.3.99.5	Q0S4Q9	Rhodococcus jostii	-	4AT0_A	4AT2_A	-
1.4.1.1	O52942	Phormidium lapideum	1SAY_A	1PJC_A	-	1PJB_A
1.4.1.1	P9WQB1	Mycobacterium tuberculosis	2VHX_A,2VHX_B,2VHX_C,2VHX_D,6O7F_A	2VHV_A,2VHV_B,2VHZ_A,2VHZ_B,2VHW_A,2VHW_B,2VHW_C,2VHW_D,2VHW_E,2VHW_F	2VOJ_A,2VOJ_C,2VOJ_E,2VHX_E,2VHX_F	2VHY_A,2VHY_B,2VOE_A,2VOE_B,2VOE_C,2VOE_D,2VOE_E,2VOE_F
1.4.1.16	G1UII1	Ureibacillus thermosphaericus	-	-	5GZ3_A,5GZ3_B,5GZ6_A,3WYC_A,3WYC_B	5GZ6_B,3WYB_A,3WYB_B,5GZ1_A,5GZ1_B
1.4.1.16	P04964	Corynebacterium glutamicum	2DAP_A	1F06_A,5LOA_A,5LOA_B,1DAP_A,1DAP_B,3DAP_A	1F06_B,3DAP_B	5LOC_A,5LOC_B
1.4.1.16	Q67PI3	Symbiobacterium thermophilum	-	3WBB_A,3WBB_B,3WBB_C	3WBF_A,3WBF_B,3WBF_C	3WB9_A,3WB9_B,3WB9_C
1.4.1.19	W8CV45	Nostoc punctiforme	-	-	-	5B37_A,5B37_B,5B37_C,5B37_D,5B37_E,5B37_F
1.4.1.2	P39633	Bacillus subtilis	3K92_A,3K92_C,3K92_D,3K92_E,3K92_F	-	-	3K92_B
1.4.1.2	Q43314	Arabidopsis thaliana	-	-	6YEI_A,6YEI_B,6YEI_C,6YEI_D,6YEI_E,6YEI_F	6YEH_A,6YEH_B,6YEH_C,6YEH_D,6YEH_E,6YEH_F
1.4.1.20	Q59771	Rhodococcus sp.	-	-	1BXG_A,1BXG_B,1C1D_A,1C1D_B,1BW9_A,1BW9_B,1C1X_A,1C1X_B	-
1.4.1.21	Q9X1X6	Thermotoga maritima	-	1J5P_A	1H2H_A	-
1.4.1.28	A0A8B4R7U8	Mycolicibacterium smegmatis	6IAQ_A,6IAQ_B,6IAQ_C,6IAQ_D	-	-	-
1.4.1.28	A9BHL2	Petrotoga mobilis	6G1M_A,6G1M_B,6G1M_C,6G1M_D,6G1H_A	-	-	-
1.4.1.28	I0IJU1	Sporosarcina psychrophila	-	-	-	3VPX_A,3VPX_B
1.4.1.28	S9Q235	Cystobacter fuscus	7QZN_A,7QZN_B,6IAU_B,7QZL_D,7QZL_A	-	-	6IAU_A
1.4.1.4	A0A0U4QBJ6	Corynebacterium glutamicum	-	5GUD_D	5GUD_A,5GUD_B,5GUD_C,5GUD_E,5GUD_F	-
1.4.1.4	P00370	Escherichia coli	4BHT_C,4BHT_E	-	-	3SBO_A,3SBO_B,3SBO_C,3SBO_D,3SBO_E,3SBO_F,2YFH_A,2YFH_B,2YFH_C,2YFH_D,2YFH_E,2YFH_F,4BHT_A,4BHT_B,4BHT_D,4BHT_F
1.4.1.4	Q8ILF7	Plasmodium falciparum	-	-	-	3R3J_A,3R3J_B,3R3J_C,3R3J_D,3R3J_E,3R3J_F
1.4.1.9	B1YLR3	Exiguobacterium sibiricum	-	-	-	8GXD_A
1.4.3.1	Q99489	Homo sapiens	-	6RKF_B,6RKF_D,6RKF_E	6RKF_A,6RKF_C,6RKF_F	-
1.4.3.10	B0F9F6	Rhodococcus erythropolis	-	2YG7_A,2YG7_B,2YG3_A,2YG3_B,2YG6_A,2YG6_B,2YG5_A	2YG4_A,2YG4_B	-
1.4.3.11	Q8L3C7	Streptomyces sp.	-	2E1M_A,7E0C_A	7E0D_A	2E1M_B,2E1M_C
1.4.3.14	A0A0G4DCU0	Trichoderma viride	-	7D4C_A	7D4D_A,7C3L_A,7C3L_B,7C3J_A,7C3J_B,7C3I_A,7C3I_B,7D4E_A,7C3H_A,7C3H_B	-
1.4.3.14	A0A0J9X1X3	Trichoderma viride	-	-	3X0V_A,3X0V_B	-
1.4.3.16	Q972D2	Sulfurisphaera tokodaii KC333624 GenBank	-	2E5V_A,2E5V_B	-	-
1.4.3.19	A0A161XU12	Pseudoalteromonas luteoviolacea	6VMV_A,6VMV_B,6VMV_C,6VMV_D,6UFQ_A,6UFQ_B,6UFQ_C,6UFQ_D,6EER_A,6EER_B,6EER_C,6EER_D,6UBR_B,6UBR_A,6UBR_C,6UBR_D,6VMW_B,6VMW_A,6VMW_C,6VMW_D,6BYW_B,6BYW_A,6BYW_C,6BYW_D,6UBZ_B,6UBZ_A,6UBZ_C,6UBZ_D,6VMF_A,6VMF_B,6VMF_C,6VMF_D,6UBN_A,6UBN_B,6UBN_C,6UBN_D,6UC1_B,6UC1_A,6UC1_D,6UC1_C,6VL7_A,6VL7_B,6VL7_C,6VL7_D	-	-	-
1.4.3.19	O31616	Bacillus subtilis	-	-	1NG4_A,1NG4_B,1NG3_A,1NG3_B,3IF9_A,3IF9_B,3IF9_C,3IF9_D,1RYI_A,1RYI_B,1RYI_C,1RYI_D	-
1.4.3.19	Q81HQ7	Bacillus cereus	-	7CYX_A,7CYX_B	-	-
1.4.3.20	F2JXJ3	Marinomonas mediterranea	2YMW_A,2YMW_B,3WEU_A,3WEU_B,3WEV_A,3WEV_B	-	-	-
1.4.3.21	P12807	Ogataea angusta	3T0U_A,3T0U_B,3T0U_C,3NBJ_A,3NBJ_B,3NBJ_C,3NBJ_D,3NBJ_E,3NBJ_F,3NBB_A,3NBB_B,3NBB_C,3NBB_D,3NBB_E,3NBB_F	2OOV_C,2OOV_D,2OOV_E,2OOV_F,3N9H_A,3N9H_B,3N9H_C,3N9H_D,3N9H_E,3N9H_F,4KFF_A,4KFF_B,4KFF_C,1A2V_A,1A2V_B,1A2V_C,1A2V_D,1A2V_E,1A2V_F	4EV2_A,4EV2_B,4EV2_C,4EV2_D,4EV2_E,4EV2_F,2OQE_A,2OQE_B,2OQE_C,2OQE_D,2OQE_E,2OQE_F,2OOV_A,2OOV_B,4EV5_A,4EV5_B,4EV5_C,4EV5_D,4EV5_E,4EV5_F,4KFD_A,4KFD_B,4KFD_C,4KFD_D,4KFD_E,4KFD_F,4KFE_A,4KFE_B,4KFE_C,4KFE_D,4KFE_E,4KFE_F	3SX1_A,3SX1_B,3SX1_C,3SXX_A,3SXX_B,3SXX_C,3SXX_D,3SXX_E,3SXX_F,1EKM_A,1EKM_B,1EKM_C
1.4.3.21	P46881	Arthrobacter globiformis	1IVV_A,1IVV_B,2ZL8_A,2ZL8_B,1SIH_A,2D1W_A,2D1W_B,2E2V_A,2E2V_B,1W5Z_A,1SII_A,2YX9_A,2YX9_B,2E2T_A,1W4N_A,1W4N_B,2E2U_A,2E2U_B	2CWU_A,2CWU_B,1IVX_A,1IVX_B,3AMO_A,3AMO_B,1IQX_A,1IQX_B,3X41_A,3X41_B,3X42_A,3X42_B,3X3Z_A,3X3Z_B,5ZPF_A,5ZPF_B,5ZP9_A,5ZP9_B,5ZPE_B,7WIR_A,7WIR_B,2CWT_A,2CWT_B,1AV4_A,1W6G_A,5ZOY_B,1WMN_A,1WMN_B,1IU7_A,1IU7_B,5ZP6_B,5ZPG_A,5ZPD_A,5ZPD_B,1W6C_A,5ZP4_A,5ZP4_B,5ZOX_A,5ZOX_B,1AVL_A,1UI8_A,1UI8_B,2CWV_A,2CWV_B,5ZPK_A,5ZPK_B,3KII_A,3KII_B,7F8K_A,5ZP8_A,1IQY_A,1IQY_B,5ZPC_A,5ZPC_B,1IVW_A,1IVW_B,3X40_A,3X40_B,5ZP0_B,5ZOU_A,5ZOU_B,3X3Y_A,3X3Y_B,5ZPA_A,5ZPA_B,5ZPH_A,5ZPH_B,3KN4_A,5ZPB_A,1WMO_A,1WMO_B,5ZP5_A,5ZP5_B	5ZPR_A,5ZPR_B,5ZP3_A,5ZP3_B,5ZPS_A,5ZPS_B,5ZPE_A,5ZPM_A,5ZPM_B,5ZOZ_A,5ZOZ_B,7YNH_A,7YNH_B,5ZOY_A,5ZP7_A,5ZP7_B,2CFW_A,2CFK_A,2CG1_A,5ZP1_A,5ZP1_B,7WNO_X,5ZP6_A,5ZPG_B,2CFL_A,5ZPI_A,5ZPI_B,5ZP2_A,5ZP2_B,5ZPP_A,5ZPP_B,1RJO_A,5ZPT_A,5ZPT_B,2BT3_A,5ZP8_B,7WNP_X,2CFG_A,2CFG_B,5ZP0_A,5ZPJ_A,5ZPJ_B,5ZOW_A,5ZOW_B,3X3X_A,3X3X_B,2CFD_A,2CFD_B,5ZPO_A,5ZPO_B,5ZPQ_A,5ZPQ_B,5ZPB_B,3WA2_X,5ZPN_A,5ZPN_B,3WA3_A,3WA3_B,7WIS_A,7WIS_B,5ZPL_A,5ZPL_B,2CG0_A,6L9C_X	1UI7_A,1UI7_B,1IVU_A,1IVU_B,1WMP_A,1WMP_B,1AVK_A
1.4.3.21	P46883	Escherichia coli	1LVN_A,1LVN_B,1SPU_A,1SPU_B	1OAC_A,1OAC_B,2WOH_A,2WOH_B,1QAF_A,1QAF_B,2WO0_A,2WO0_B,1DYU_A,1DYU_B,1QAK_A,1QAK_B,1QAL_A,1QAL_B,1JRQ_A,1JRQ_B,2WOF_A,2WOF_B	1D6Z_A,1D6Z_B,1D6U_A,1D6U_B,1D6Y_A,1D6Y_B,2W0Q_A,2W0Q_B	2WGQ_A,2WGQ_B,6EZZ_A,6EZZ_B
1.4.3.21	Q16853	Homo sapiens	4BTX_C,4BTX_D,4BTW_C,4BTW_D,4BTW_E,4BTW_F,4BTY_C,4BTY_D,4BTY_E,2C10_E,2C10_F,2C10_G,2C10_H,2C10_I,2C10_J,2C10_K,2C10_L,2C10_M,2C10_N,2C10_O,2C10_P,2C11_A,2C11_B,2C11_C,2C11_D,2C11_E,2C11_F,2C11_G,2C11_H,2C11_I,2C11_J,2C11_K,2C11_L,2Y74_A,2Y74_B,2Y74_C,2Y74_D,2Y74_E,2Y74_F,1PU4_C,1PU4_D,1US1_C,1US1_D,3ALA_H,3ALA_I,3ALA_J,3ALA_K,3ALA_L,3ALA_M,3ALA_N,3ALA_O,3ALA_P,3ALA_Q,3ALA_R,3ALA_S,3ALA_T,3ALA_U,3ALA_V,3ALA_W,3ALA_X,3ALA_Y,3ALA_Z,3ALA_a,2Y73_C,2Y73_D,2Y73_E,2Y73_F	3ALA_A,3ALA_C,3ALA_E,3ALA_F,3ALA_G	4BTX_A,4BTX_B,4BTW_A,4BTW_B,4BTY_A,4BTY_B,2C10_A,2C10_B,2C10_C,2C10_D,1PU4_A,1PU4_B,1US1_A,1US1_B,3ALA_B,3ALA_D,2Y73_A,2Y73_B	-
1.4.3.3	A0A499UB99	Rasamsonia emersonii	-	7CT4_A,7CT4_B,7CT4_C,7CT4_D	-	-
1.4.3.3	P00371	Sus scrofa	-	5WX2_A,5WX2_B,5WX2_C,5WX2_D,5WX2_E,5WX2_F,5WX2_G,5WX2_H,5WWV_B,5WWV_E,5WWV_H,4YJD_A,4YJD_B,1DAO_A,1DAO_B,1DAO_C,1DAO_D,1DAO_E,1DAO_F,1DAO_G,1DAO_H	1AN9_A,1AN9_B,1DDO_A,1DDO_B,1DDO_C,1DDO_D,1DDO_E,1DDO_F,1DDO_G,1DDO_H,1VE9_A,1VE9_B,1EVI_A,1EVI_B,4YJF_A,4YJF_B,1KIF_A,1KIF_B,1KIF_C,1KIF_D,1KIF_E,1KIF_F,1KIF_G,1KIF_H,4YJG_A,4YJG_B,5WWV_A,5WWV_C,5WWV_D,5WWV_F,5WWV_G,3WGT_A,3WGT_B,4YJH_A,4YJH_B	-
1.4.3.3	P14920	Homo sapiens	-	3ZNQ_B,2E48_A,2E48_B,2E48_C,2E48_D,3ZNP_B	2DU8_A,2DU8_B,2DU8_G,2DU8_J,3W4J_A,3W4J_B,3W4J_C,3W4J_D,3ZNQ_A,5ZJ9_A,5ZJ9_B,5ZJ9_C,5ZJ9_D,3ZNN_A,3ZNN_B,8HY5_A,8HY5_B,3CUK_A,3CUK_B,3CUK_C,3CUK_D,3G3E_A,3G3E_B,3G3E_C,3G3E_D,7U9U_A,7U9U_B,2E49_A,2E49_B,2E49_C,2E49_D,2E4A_A,2E4A_B,2E4A_C,2E4A_D,3W4K_A,3W4K_B,3W4K_C,3W4K_D,7U9S_A,7U9S_B,6KBP_A,6KBP_B,6KBP_C,6KBP_D,4QFC_A,4QFC_B,4QFD_A,4QFD_B,3W4I_A,3W4I_B,3W4I_C,3W4I_D,2E82_A,2E82_B,2E82_C,2E82_D,3ZNP_A,3ZNO_A,3ZNO_B,5ZJA_A,5ZJA_B,5ZJA_C,5ZJA_D	-
1.4.3.3	P80324	Rhodotorula toruloides	-	-	1C0P_A,1C0I_A,1C0K_A,1C0L_A	-
1.4.3.4	P21396	Rattus norvegicus	-	-	1O5W_A,1O5W_B,1O5W_C,1O5W_D	-
1.4.3.4	P21397	Homo sapiens	-	-	2Z5Y_A,2Z5X_A,2BXS_A,2BXS_B,2BXR_A,2BXR_B	-
1.4.3.4	P27338	Homo sapiens	-	2C64_A	2C76_A,2C76_B,7B0V_A,7B0V_B,4A79_A,4A79_B,6RLE_A,6RLE_B,2C73_A,2C73_B,2XFN_A,2XFN_B,2C72_A,2C72_B,3ZYX_A,3ZYX_B,1S3E_A,1S3E_B,2XCG_A,2XCG_B,6YT2_A,6YT2_B,7P4F_A,7P4F_B,2C66_A,2C66_B,2C70_A,2C70_B,2V61_A,2V61_B,2XFQ_A,2XFQ_B,1OJA_A,1OJA_B,1GOS_A,1GOS_B,5MRL_A,5MRL_B,6FW0_A,6FW0_B,6RKP_A,6RKP_B,1OJD_A,1OJD_B,1OJD_C,1OJD_D,1OJD_E,1OJD_F,1OJD_G,1OJD_H,1OJD_I,1OJD_L,1OJC_A,1OJC_B,2XFU_A,2XFU_B,4A7A_A,4A7A_B,2BYB_A,2BYB_B,2XFP_A,2XFP_B,4CRT_A,4CRT_B,7P4H_A,7P4H_B,2BK5_A,2BK5_B,7B0Z_A,7B0Z_B,2C67_A,2C67_B,2C75_A,2C75_B,1S2Q_A,1S2Q_B,2BK4_A,2BK4_B,1S2Y_A,1S2Y_B,3PO7_A,3PO7_B,1S3B_A,1S3B_B,2VRM_A,2VRM_B,2XFO_A,2XFO_B,2VRL_A,2VRL_B,6FVZ_A,6FVZ_B,6RKB_A,6RKB_B,1OJ9_A,1OJ9_B,2C65_A,2C65_B,2V5Z_A,2V5Z_B,2BK3_A,2BK3_B,2VZ2_A,2VZ2_B,2C64_B,6FWC_A,6FWC_B,2V60_A,2V60_B	-
1.4.3.4	P46882	Aspergillus niger	-	2VVL_B,2VVL_E,2VVL_H	3ZDN_A,3ZDN_B,3ZDN_C,3ZDN_D,2VVL_A,2VVL_C,2VVL_D,2VVL_F,2VVL_G,2VVM_A,2VVM_B	-
1.4.3.5	P0AFI7	Escherichia coli	-	1WV4_A,1WV4_B	1DNL_A,1JNW_A,1G78_A,1G79_A,1G76_A,1G77_A	-
1.4.3.5	Q9NVS9	Homo sapiens	-	-	3HY8_A,6H00_A,1NRG_A	-
1.4.4.2	P23378	Homo sapiens	6I35_A,6I35_B,6I35_C,6I35_D	-	6I34_A,6I34_B,6I34_C,6I34_D,6I33_A,6I33_B	-
1.4.99.6	Q9HXE3	Pseudomonas aeruginosa	3SM8_A	6P9D_A	3NYE_A,3NYF_A,3NYC_A,6PLD_A,7RDF_A	-
1.5.1.11	Q9BHM6	Pecten maximus	-	-	3C7D_B,3C7A_A,3IQD_B,3C7C_B	-
1.5.1.15	A0R6S0	Mycolicibacterium smegmatis	-	7WMZ_E,7WMZ_A,7WMZ_B,7WMZ_C,7WMZ_D,7WMZ_F	-	7WMY_A,7WMX_A,7WMW_A
1.5.1.15	P13995	Homo sapiens	7EHN_A,7EHN_B,6S4F_A,6S4F_B,7EHM_A,7EHM_B,6JID_A,6JID_B,7EHV_A,7EHV_B,6JIB_A,6JIB_B	-	6KG2_A,6KG2_B,5TC4_A,6S4E_A,7EHJ_A,7EHJ_B,6S4A_A,6S4A_B	-
1.5.1.2	G7KRM5	Medicago truncatula	5BSH_A,5BSH_B,5BSH_C,5BSH_D,5BSH_E,5BSH_F,5BSH_G,5BSH_H,5BSH_I,5BSH_J,5BSE_A,5BSE_C,5BSE_H,5BSE_I,5BSE_J	-	5BSF_A,5BSF_B,5BSF_C,5BSF_D,5BSF_E,5BSF_F,5BSF_G,5BSF_H,5BSF_I,5BSF_J,5BSG_A,5BSG_B,5BSG_C,5BSG_D,5BSG_E,5BSG_F,5BSG_G,5BSG_H,5BSG_I,5BSG_J	5BSE_B,5BSE_D,5BSE_E,5BSE_F,5BSE_G
1.5.1.2	P32322	Homo sapiens	6XP1_A,6XP2_A,6XP2_E,6XP0_A,6XP0_B,6XP0_C,6XP0_D,6XP0_E,5UAU_A,5UAU_B,5UAU_C,5UAU_D,5UAU_E,6XP3_B,6XP3_C,6XOZ_A,6XOZ_B,6XOZ_C,6XOZ_D,6XOZ_E	5UAT_E,8DKG_A,8DKG_B,8DKG_C,8DKG_D,8DKG_E,2IZZ_B	5UAV_A,5UAV_B,5UAV_C,5UAV_D,5UAV_E,2GR9_A,2GR9_B,2GR9_C,2GR9_D,2GR9_E,5UAT_C,2GRA_A,2GRA_B,2GRA_C,2GRA_D,2GRA_E,2IZZ_A,2IZZ_C,2IZZ_D,2IZZ_E	6XP1_B,6XP1_C,6XP1_D,6XP1_E,2GER_A,2GER_B,2GER_C,2GER_D,2GER_E,5UAT_A,5UAT_B,5UAT_D,6XP2_B,6XP2_C,6XP2_D,5UAX_A,5UAX_B,5UAX_C,5UAX_D,5UAX_E,5UAW_A,5UAW_B,5UAW_C,5UAW_D,5UAW_E,6XP3_A,6XP3_D,6XP3_E
1.5.1.2	Q96C36	Homo sapiens	-	-	-	6LHM_A,6LHM_B,6LHM_C,6LHM_D,6LHM_E
1.5.1.20	P0AEZ1	Escherichia coli	-	1ZRQ_A,1ZRQ_B,1ZRQ_C,2FMO_A,2FMO_B,2FMO_C,1ZP3_A,1ZP3_B,1ZP3_C,6PEY_A,6PEY_B,6PEY_C,1B5T_A,1B5T_B,1B5T_C,3FST_A,3FST_E,1ZPT_A,1ZPT_B,1ZPT_C	2FMN_A,2FMN_B,2FMN_C,1ZP4_A,1ZP4_B,1ZP4_C,3FSU_A,3FSU_C,3FSU_E,3FST_C	-
1.5.1.20	P42898	Homo sapiens	-	-	6FCX_A,6FCX_B	-
1.5.1.3	G4VJD6	Schistosoma mansoni	-	-	-	3VCO_A
1.5.1.3	J9F199	Wuchereria bancrofti	-	-	8E4F_A	-
1.5.1.3	O30463	Mycobacterium avium	-	-	2W3W_A,2W3V_A	-
1.5.1.3	P00374	Homo sapiens	1PD9_A,1U71_A,1S3V_A,3S7A_A,1MVS_A,4G95_A,2DHF_A,2DHF_B,3OAF_A,1DHF_A,1DHF_B,3EIG_A,1S3U_A,1DRF_A,7XI7_A,3S3V_A,1MVT_A,3N0H_A	4M6J_A	1OHJ_A,4M6L_A,1KMV_A,4KFJ_A,4KFJ_B,4M6K_A,6DAV_A,6DAV_B,4DDR_A,1U72_A,3L3R_A,5HSU_A,2C2T_A,2C2T_B,5HVB_A,3NXX_A,5SD9_A,2C2S_A,2C2S_B,4QJC_A,5HPB_A,5HT5_A,1DLS_A,6A7C_A,3NTZ_A,5SD7_A,5SDA_A,7ESE_A,5HQY_A,6DE4_A,6DE4_B,3F91_A,5HSR_A,3GYF_A,5HVE_A,4KEB_A,4KEB_B,3GHC_A,5HQZ_A,5HUI_A,1S3W_A,3NZD_A,5SD8_A,1HFQ_A,6A7E_A,1OHK_A,5SDB_A,5SDB_B,1BOZ_A,3NXV_A,3GHW_A,2W3B_A,2W3B_B,2W3A_A,2W3A_B,3NU0_A,1HFR_A,1YHO_A,3NXO_A,1HFP_A,4KBN_A,4KBN_B,5SD6_A,3GHV_A,3GI2_A,3FS6_A,3NXY_A,6VCJ_A,6VCJ_B,6VCJ_C,6VCJ_D,1PD8_A,4KAK_A,4KAK_B,2W3M_A,2W3M_B,3F8Y_A,1DLR_A,5HT4_A,1KMS_A,3NXT_A,3F8Z_A,4QHV_A,4KD7_A,4KD7_B,3NXR_A	1PDB_A
1.5.1.3	P0ABQ4	Escherichia coli	1RF7_A,5EAJ_B,5EAJ_A,6MR9_A,3DRC_A,3DRC_B,1JOM_A,1DYH_A,1DYH_B,7NAE_A,4EJ1_A,4EJ1_B,2DRC_A,2DRC_B,1RD7_A,1RD7_B,7F3B_A,2INQ_A,2INQ_B,6CW7_A,7REB_A,7MQP_A,6MT8_A,1DYI_A,1DYI_B,6MTH_A,1RE7_A,1RE7_B,1DDS_A,1DDS_B,2D0K_A,2D0K_B,1RG7_A,1DYJ_A,1DYJ_B,1DRB_A,1DRB_B,1DDR_A,1DDR_B,4I13_A,1RA8_A,3OCH_A,6CXK_A,1DHJ_A,1DHJ_B,1RX7_A,1DHI_A,1DHI_B,1RX5_A,4I1N_A,5UIO_B,1TDR_A,1TDR_B,6CQA_A,5UJX_B,5UJX_A,4DFR_A,4DFR_B,1JOL_A,1JOL_B,5E8Q_B,5E8Q_A,1DRA_A,1DRA_B	1RA9_A,1RA1_A,1DRH_A,6DFR_A,5W3Q_A,1RX1_A	7D49_A,5Z6F_A,1RA3_A,7D3Z_A,5Z6J_A,1RX8_A,7DFR_A,5Z6M_A,5UIP_A,5UIP_B,4X5I_A,3KFY_A,8DAI_A,4FHB_A,3QYO_A,7LVC_A,4X5G_A,4X5G_B,3QYL_A,4GH8_B,4GH8_A,4KJL_A,1RX2_A,7MYM_A,7MYM_C,7MYM_B,6RUL_A,1DRE_A,6XG5_A,1RX3_A,3QL3_A,1RX6_A,5CC9_A,2ANO_A,7D6G_A,4X5J_A,1RX9_A,3R33_A,1RA2_A,4KJK_A,1RC4_A,4X5F_A,4X5F_B,4X5H_A,7D4X_A,3DAU_A,1RB2_A,1RB2_B,5UIH_A,6CYV_A,5Z6L_A,7D4L_A,5Z6K_A,4PDJ_A,5UII_A,1RX4_A,4KJJ_A,4NX7_A,2ANQ_A,5UIO_A,5UIO_C,5UIO_D,5UIO_E,6XG4_A,6RUM_A,5CCC_A,1RB3_A,1RB3_B,4NX6_A,1RH3_A	4FHB_D,4EJ1_C,4EJ1_D,3K74_A,3K74_B,4EIG_A,4EIG_B,4I13_B,3OCH_B,5DFR_A,4I1N_B,4EIZ_A,4EIZ_B,4EIZ_C,4EIZ_D
1.5.1.3	P16184	Pneumocystis carinii	4CD2_A,3NZC_X	-	1LY3_A,3NZ6_X,3TD8_A,3CD2_A,2FZI_A,3NZA_X,1DAJ_A,4IXG_X,1S3Y_A,4G8Z_X,2CD2_A,1DYR_A,3NZ9_X,4IXE_D,2FZH_A,4IXF_X,3NZB_X,1LY4_A,1VJ3_A,1E26_A,1KLK_A,1CD2_A,4QJZ_D	-
1.5.1.3	Q54801	Streptococcus pneumoniae	-	-	3IX9_A,3IX9_B	-
1.5.1.3	Q60034	Thermotoga maritima	-	-	1D1G_A,1D1G_B	1CZ3_A,1CZ3_B
1.5.1.3	Q81R22	Bacillus anthracis	3FL9_A,3FL9_B,3FL9_C,3FL9_D,3FL9_E,3FL9_F,3FL9_G,3FL9_H,4ELH_A,4ELH_H,4ELH_C,4ELH_B,4ELH_G,4ELH_F,4ELH_D,4ELH_E,4ELG_A,4ELG_B,4ELG_C,4ELG_D,4ELG_E,4ELG_F,4ELG_G,4ELG_H,2QK8_A,4ELE_A,4ELE_B,4ELE_C,4ELE_D,4ELE_E,4ELE_F,4ELE_G,4ELE_H,8SSX_A,4ELB_A,4ELB_H,4ELB_C,4ELB_B,4ELB_G,4ELB_F,4ELB_D,4ELB_E,4ELF_A,4ELF_B,4ELF_C,4ELF_D,4ELF_E,4ELF_F,4ELF_G,4ELF_H,3FL8_A,3FL8_B,3FL8_C,3FL8_D,3FL8_E,3FL8_F,3FL8_G,3FL8_H	-	3SAI_A,3SAI_B,3JW3_A,3JW3_B,3SA2_A,3SA2_B,2KGK_A,3E0B_A,3E0B_B,3JWF_A,3JWF_B,3S9U_A,3S9U_B,3DAT_A,3JW5_A,3JW5_B,3JWM_A,3JWM_B,3JWC_A,3JWC_B,3JVX_A,3JVX_B,3JWK_A,3JWK_B,3SA1_A,3SA1_B	-
1.5.1.3	P13922	Plasmodium falciparum	1J3I_C,1J3I_D,1J3J_C,1J3J_D,1J3K_C,1J3K_D,3DG8_C,3DG8_D,3DGA_C,3DGA_D	7CTW_B	1J3I_A,1J3I_B,1J3J_A,1J3J_B,1J3K_A,1J3K_B,3DG8_A,3DG8_B,3DGA_A,3DGA_B,7CTW_A,7F3Y_A,7F3Y_B,7F3Z_A,7F3Z_B	-
1.5.1.3	Q70YQ6	Moritella profunda	-	-	2ZZA_A,2ZZA_B,3IA4_A,3IA4_B,3IA4_C,3IA4_D	3IA5_A,3IA5_B
