EC_number	UniProt_ID	PDB_IDs	Organism_name
1.8.5.1	A8I0K9	5XFT	Chlamydomonas reinhardtii
1.8.5.1	P78417	6MHC,5YVN,5UEH,6PNN,1EEM,4YQM,4YQV,6MHD,4IS0,4YQU,5YVO,6PNO,6MHB,3LFL,3VLN,6PNM,5V3Q	Homo sapiens
1.8.5.1	Q65XA0	5D9V,5D9X,5D9W,5D9T	Oryza sativa Japonica Group
1.8.5.1	Q9H4Y5	3Q19,3Q18,3QAG	Homo sapiens
1.8.5.1	U5XYA0	7F8S,5EVO,5IQY	Cenchrus americanus
1.8.5.3	Q57366	1EU1	Cereibacter sphaeroides
1.8.5.4	B7JBP8	3SZ0,3SZF,3SYI,3T0K,3SZC,3T14,3T2Z,3T2K,3SX6,3T31,3SZW,3SY4,3KPK,3T2Y,3SXI	Acidithiobacillus ferrooxidans
1.8.5.4	Q9Y6N5	6MP5,6OIB,6OI5,6WH6,8DHK,6OI6,6OIC,6MO6	Homo sapiens
1.8.5.4	O67931	3HYV,3HYW,3HYX	Aquifex aeolicus
1.8.5.7	P42620	4G0I,4G0K,4G0L,3R3E	Escherichia coli
1.8.98.3	Q58280	7NP8	Methanocaldococcus jannaschii
2.1.1.1	P40261	7RKK,7NBQ,7EHZ,6ORR,7EI2,7WMT,6CHH,7EU5,7NBJ,6PVE,5YJF,2IIP,7WMC,7ET7,6PVS,7BLE,3ROD,7NBM,7BKG,7EGU,7RKL	Homo sapiens
2.1.1.10	Q47690	5DML,5DMN,5DMM	Escherichia coli
2.1.1.103	A5K867	4IV0,4MWZ	Plasmodium vivax
2.1.1.103	Q944H0	5WP5	Arabidopsis thaliana
2.1.1.103	Q9FR44	5WP4	Arabidopsis thaliana
2.1.1.104	Q6YI95	3C3Y	Mesembryanthemum crystallinum
2.1.1.14	P82610	4L5Z,4L6O,4L6H,3PPG,3PPH,3PPC,4L64,4QQU,4L65,4L61,3PPF	Candida albicans
2.1.1.140	Q948P7	6GKV,6GKZ,6GKY	Coptis japonica
2.1.1.146	O04385	3REO,5CVV,5CVJ,3TKY,5CVU	Clarkia breweri
2.1.1.148	Q5UVJ4	3N3Y	Helicobacter pylori
2.1.1.148	Q9WYT0	1O2A,4KAS,3G4A,3N0C,5IOS,1O2B,4GTD,7NDW,5IOQ,3N0B,5IOT,7NDZ,4KAT,4GTC,4KAR,4GTE,1O29,1O24,1O26,5CHP,1O25,3G4C,4GTF,4GTB,1KQ4,1O28,5IOR,4GTL,5JFE,4GT9,1O27,4GTA	Thermotoga maritima
2.1.1.15	B2HHT4	5F2N,5F2O,5F2K	Mycobacterium marinum
2.1.1.156	F6KV61	5HII,5HIK,5HIJ,5HIM,5H02,5GWX,5HIL	Methanohalophilus portucalensis
2.1.1.164	Q8KZ94	3BUS	Lentzea aerocolonigenes
2.1.1.176	P36929	1SQF,1SQG	Escherichia coli
2.1.1.177	P0A8I8	5TWJ,7CFY,5ZYO,7CEM,1NS5,5TWK,7CF7	Escherichia coli
2.1.1.184	P13956	1QAM,2ERC,1QAO,1QAN,1QAQ	Bacillus subtilis
2.1.1.190	P55135	2BH2,1UWV	Escherichia coli
2.1.1.193	P0AGL7	4E8B	Escherichia coli
2.1.1.2	P10868	1KHH,1P1B,1XCL,1P1C,1XCJ	Rattus norvegicus
2.1.1.20	P13255	2IDJ,3THR,1KIA,1D2C,1NBI,3THS,1NBH,1BHJ,1XVA,2IDK,1D2H,1D2G	Rattus norvegicus
2.1.1.200	P0AE01	4CND,4XBO,4CNE	Escherichia coli
2.1.1.204	P40999	6FDF	Schizosaccharomyces pombe
2.1.1.212	Q29U70	1ZGA,1ZG3,1ZHF,1ZGJ	Medicago truncatula
2.1.1.215	O67010	3AXS,3AXT	Aquifex aeolicus
2.1.1.217	P54471	6Q56	Bacillus subtilis
2.1.1.22	Q8N4J0	5YF2,5YF0,5YF1	Homo sapiens
2.1.1.220	Q8GBB2	5C1I,2PWY,5C0O	Thermus thermophilus
2.1.1.221	O14214	4JWG,4JWH,4JWF	Schizosaccharomyces pombe
2.1.1.221	Q12400	4JWJ	Saccharomyces cerevisiae
2.1.1.221	Q8TBZ6	4FMW	Homo sapiens
2.1.1.228	P0A873	1P9P	Escherichia coli
2.1.1.228	Q02RL6	5WYQ,5WYR	Pseudomonas aeruginosa
2.1.1.228	Q58293	2ZZM,2ZZN,2YX1,3AY0	Methanocaldococcus jannaschii
2.1.1.233	Q9UIC8	3P71,3O7W,3IEI	Homo sapiens
2.1.1.234	Q9ZGH6	3BXO	Streptomyces venezuelae
2.1.1.235	P95748	3PFG,3PX2,4OQD,6M83,3PX3,3PFH,4OQE,6M82,6M81	Streptomyces fradiae
2.1.1.244	Q9BV86	6PVB,5E1O,6KDQ,7U1M,2EX4,5E2B,5CVD,6DTN,6WJ7,5E1D,5E2A,7SS1,5CVE,6WH8,7K3D,5E1M,6PVA,5E1B	Homo sapiens
2.1.1.255	Q9F1Y5	3VC1,3VC2	Streptomyces coelicolor
2.1.1.269	Q4FP21	3TFJ,3TFI,3TFH	Candidatus Pelagibacter ubique
2.1.1.273	Q9SPV4	1M6E	Clarkia breweri
2.1.1.278	Q9FLN8	3B5I	Arabidopsis thaliana
2.1.1.28	P11086	3KPW,2G72,2AN5,3HCE,2OPB,7TWU,3KQS,3KQV,3KR0,3KPJ,3HCB,6WS1,2G8N,3KR2,3HCC,4MQ4,3KQQ,3KQY,2G70,3KPV,2AN3,2OBF,1HNN,1N7I,3KR1,3KQM,7TX2,1N7J,3KQP,2ONY,3KPY,3HCA,2AN4,4MIK,3HCF,1YZ3,2ONZ,4DM3,2G71,3KQT,3KQW,3HCD,3KQO,3KPU	Homo sapiens
2.1.1.292	Q06528	5EEH,5EEG,1TW2,7PGJ,7PGA,5JR3,4WXH,7PHD,1TW3,7OWB	Streptomyces peucetius
2.1.1.299	Q5VVY1	6KDS,6KDR,6DUB,5UBB	Homo sapiens
2.1.1.300	C3SBW0	5KPG,5KOC,5KPC,5KN4,5KOK	Thalictrum flavum subsp. glaucum
2.1.1.303	Q84HC8	3I53,3I5U,3I58,3I64	Streptomyces carzinostaticus
2.1.1.316	Q9X5T6	3GWZ,3GXO	Streptomyces lavendulae
2.1.1.319	O60678	4HSG,2FYT,3SMQ,4QQN,8G2G,4RYL,8G2F	Homo sapiens
2.1.1.319	Q99873	6NT2	Homo sapiens
2.1.1.320	O14744	7MXN,6RLQ,4X63,7ZVL,8CYI,7ZVU,6UXY,7KIC,6CKC,7SES,5EML,7BO7,7U30,6RLL,6UGH,8CTB,7ZUQ,7S0U,7MXG,7MXC,6K1S,7S1P,7MXA,7L1G,7ZUY,8CSG,6V0P,6V0O,7UOH,7S1R,6UXX,7MX7,5EMJ,7ZUP,7ZUU,5FA5,7S1Q,4X60,7UY1,4X61,7SER,7ZV2,7BOC,7M05,7KIB,7UYF,5EMM,7S1S,4GQB,5C9Z,6V0N,7KID,5EMK	Homo sapiens
2.1.1.321	Q922X9	4C4A,6OGN	Mus musculus
2.1.1.341	G2IQS7	5X1L,5X1N,5X1K,5X1J,5TL4,5X1M,5X1I	Sphingobium sp.
2.1.1.343	K4RFM2	4D7K	Streptomyces davaonensis
2.1.1.356	O41094	3KMA,1N3J,2G46,3KMJ,3KMT	Paramecium bursaria Chlorella virus 1
2.1.1.357	Q9NR48	4YPE,4YPU,4YPA,4YNM,6X0P,4YNP,6WZW,6AGO,7Y0I,3OPE,6INE,3MQM	Homo sapiens
2.1.1.359	Q9BYW2	7EA8,5JLB,7TY3,5JJY,7LZD,2MDI,5LSY,2MDC,4H12,7LZF,5LT7,7LZB,5LT8,4FMU,5LSZ,7EVS,5V21,5LSX,7EVR,6J9J,2A7O,2MDJ,5LT6,7TY2,5V22,6VDB,5JLE,5LSS	Homo sapiens
2.1.1.359	Q9NQV7	5EGB,6NM4,5EH2,4IJD,5EI9	Homo sapiens
2.1.1.365	K5B7F3	6G80,6H40,6G7D	Mycolicibacterium hassiacum
2.1.1.366	Q15047	5QT1,5QT2,7CAJ,7CJT,5KCH,5KCO,6BHD,6BHH,5KE3,5KH6,3DLM,6BPI,7C9N,6BHE,6BHI,4X3S,5KE2,6BHG,6AU3,8G5E,6AU2,7CD9	Homo sapiens
2.1.1.369	B9RU15	5VAH,5VAC,5VA6,4O30,5VBC	Ricinus communis
2.1.1.37	O88508	3SWC,3SW9	Mus musculus
2.1.1.37	O88509	1KHC	Mus musculus
2.1.1.37	P05102	5CIY,1M0E,2Z6A,1FJX,2UZ4,9MHT,2C7R,2UYH,2Z6Q,2C7P,2HR1,3EEO,1SKM,4MHT,2I9K,2ZCJ,2C7O,1MHT,1SVU,3MHT,10MH,2C7Q,7MHT,1HMY,2UYC,5MHT,5LOD,2HMY,8MHT,6MHT,2Z6U	Haemophilus parahaemolyticus
2.1.1.37	P20589	3UBT,1DCT	Haemophilus aegyptius
2.1.1.37	P26358	3SWR,6X9K,4WXX,6X9I,7SFF,5WVO,3EPZ,7SFE,7SFD,4Z96,4Z97,7SFC,3PTA,6K3A,7XIB,7XI9,6X9J,6L1F,7SFG,5YDR,4YOC	Homo sapiens
2.1.1.37	Q9Y6K1	3A1A,4U7P,4QBQ,3LLR,6BRR,6W89,8BA5,6W8J,4QBS,3A1B,3SVM,4QBR,6F57,6PA7,2QRV,4U7T,6W8B,6W8D,5YX2	Homo sapiens
2.1.1.374	P9WKL5	7NDM,7NOY,7BGG,7NMK	Mycobacterium tuberculosis
2.1.1.376	Q24SP7	2QNE	Desulfitobacterium hafniense
2.1.1.45	P04818	2RD8,6QYQ,3EF9,3GH2,1HW3,5X66,4G2O,4O1U,3N5E,6ZXO,3OB7,6OJV,6PF5,1I00,6OJU,1JU6,3GH0,4FGT,4GYH,4H1I,1JUJ,6PF3,6PF4,5X69,1HZW,2ONB,3EDW,5HS3,3EGY,5X5D,5X67,3ED7,3EHI,4JEF,5X4W,4GD7,5X5Q,3EBU,4G6W,1HW4,3GG5,6R2E,6QXG,3HB8,5WRN,5X4Y,5X5A,2RDA,3N5G,4KPW,4E28,4UP1,1YPV,1HVY,4O1X,3EJL,6PF6,5X4X,3EAW,6QXH,3H9K	Homo sapiens
2.1.1.45	P0A884	1F4B,1F4F,6NNR,1F4D,4F2V,1SYN,1TLC,1ZPR,1KZJ,1TSN,1EV5,1FFL,1F4G,1TJS,1BJG,1AJM,1QQQ,2VF0,1EVG,1TRG,2VET,1DNA,2BBQ,3B5B,7JXF,1NCE,1BID,1BQ1,2G8X,1BDU,1KZI,1BQ2,1TLS,3BFI,3BHL,2A9W,1JTU,3B9H,1JTQ,3TMS,1F4C,1JG0,2FTQ,1KCE,1AIQ,1EV8,1EVF,3BGX,4ISK,1AXW,1JUT,2FTO,7JX1,1AN5,1TYS,1F4E,1TSD,2KCE,4GEV,3BHR,6CDZ,1DDU,1TDU,1AOB,1FWM,2TSC,2FTN	Escherichia coli
2.1.1.45	P9WFR9	4FOA,4FOX,4FOG,4FQS,3QJ7	Mycobacterium tuberculosis
2.1.1.45	Q834R3	6QYA,3UWL,4O7U,6QXS,5J7W	Enterococcus faecalis
2.1.1.5	O09171	1UMY	Rattus norvegicus
2.1.1.5	Q93088	8D45,4M3P,1LT8,1LT7	Homo sapiens
2.1.1.50	B2KPR3	6C8S,6C8R	Catharanthus roseus
2.1.1.56	Q8SR66	1RI3,1RI2,1RI5,1RI1,1RI4,2HV9,1Z3C	Encephalitozoon cuniculi
2.1.1.6	O42898	5ZY5,5ZY6	Schizosaccharomyces pombe
2.1.1.63	Q97VW7	6GA0,4ZYH,5LLQ,4ZYG,4ZYD,4ZYE,8AES	Saccharolobus solfataricus
2.1.1.67	O55060	2GB4,3BGI,3BGD	Mus musculus
2.1.1.67	P51580	2H11,2BZG	Homo sapiens
2.1.1.68	C5YH12	4PGH,4PGG	Sorghum bicolor
2.1.1.68	P28002	1KYZ,1KYW	Medicago sativa
2.1.1.72	P0AEE8	4RTP,4RTJ,4GOO,4RTR,4RTS,4GOM,4RTL,4RTO,4RTK,2G1P,4GON,4GOL,4RTQ,4GBE,4RTN,4RTM,2ORE	Escherichia coli
2.1.1.72	P14385	2NP6,2ADM,2IH2,2NP7,2IH4,2JG3,1G38,1AQI,2IBT,1AQJ,2IH5,2IBS	Thermus aquaticus
2.1.1.72	P23192	1G60	Moraxella bovis
2.1.1.74	Q5SID2	3G5R,3G5Q,3G5S	Thermus thermophilus
2.1.1.77	Q27869	1R18	Drosophila melanogaster
2.1.1.79	Q5FJM0	5Z9O	Lactobacillus acidophilus
2.1.1.8	P50135	1JQE,2AOV,1JQD,2AOX,2AOU,2AOT,2AOW	Homo sapiens
2.1.1.85	Q86TU7	3SMT,6ICV,6OX4,6WK2,6OX1,6ICT,6V62,6MBL,6WK1,6OX5,6MBK,6V63,7LMS,6OX3,6JAT,6MBJ,7W29,6OX0,6OX2,7W28	Homo sapiens
2.1.1.9	Q0WP12	3LCC	Arabidopsis thaliana
2.1.1.90	Q46EH3	2I2X	Methanosarcina barkeri
2.1.2.1	A1SUU0	4P3M	Psychromonas ingrahamii
2.1.2.1	P07511	1LS3,1RV3,1RV4,1RVU,1RVY,1CJ0	Oryctolagus cuniculus
2.1.2.1	P0A825	1EQB,3G8M,1DFO	Escherichia coli
2.1.2.1	P34896	7RJL,1BJ4,8A11,6FL5,6M5W,7RJP	Homo sapiens
2.1.2.1	P34897	6QVL,5X3V,5V7I,8AQL,7BYI,6QVG,6R8F,6M5O,6DK3,4PVF,6H3C	Homo sapiens
2.1.2.1	Q7SIB6	2W7D,1YJY,2VGU,2VGS,2W7E,2VMO,2VMY,1KKJ,2W7F,2VMW,2VGW,2VMU,1KL1,1YJS,2W7G,2VI9,1KKP,1KL2,2VGT,2VMV,2W7K,2VMS,1YJZ,2VMZ,2W7I,2VMN,2VMT,2W7L,2VMP,2VMR,2VMX,2W7M,2W7J,2VIA,2VIB,2VMQ,2W7H,2VGV,2VI8	Geobacillus stearothermophilus
2.1.2.3	P31939	1PKX,5UY8,1PL0,1P4R,5UZ0	Homo sapiens
2.1.2.9	P23882	2FMT,1FMT	Escherichia coli
2.1.3.2	P0A786	1TTH,2AIR,1R0C,2FZG,2HSE,1AT1,5VMQ,1Q95,1RAC,2A0F,1RAA,2QGF,3D7S,4E2F,4FYX,1RAE,4FYY,1F1B,3NPM,2ATC,8AT1,9ATC,2AT1,2FZC,1RAI,6KJ8,1NBE,1TUG,1R0B,1ACM,5AT1,1RAF,1RAH,1TU0,1XJW,6KJ7,7AT1,8ATC,6KJA,1SKU,6AT1,6KJ9,3MPU,4AT1,2QG9,4FYV,1EKX,3AT1,2IPO,1EZZ,1ZA1,6KJB,2FZK,3CSU,1RAB,1D09,1ZA2,4F04,4FYW,2H3E,1RAG,1RAD,1I5O	Escherichia coli
2.1.3.2	P77918	1ML4	Pyrococcus abyssi
2.1.3.2	Q58976	3E2P,4EKN,2RGW	Methanocaldococcus jannaschii
2.1.3.3	P04391	1DUV,1AKM,2OTC	Escherichia coli
2.1.3.3	Q837U7	4A8H,4AM8,3TXX,4A8P,4A8T	Enterococcus faecalis
2.1.3.3	P00480	1C9Y,1EP9,1FVO,1OTH	Homo sapiens
2.1.3.3	P84010	1FB5	Ovis aries
2.2.1.1	A0A0I9QGZ2	8CIP	Geobacillus stearothermophilus
2.2.1.1	P23254	1TKB,1TKA,1NGS,1GPU,1TKC,1TRK,1AY0	Saccharomyces cerevisiae
2.2.1.1	P29401	4KXX,6RJB,4KXU,3OOY,3MOS,4KXW,6HA3,6HAD,4KXV,4KXY	Homo sapiens
2.2.1.1	P34736	5I51,5I5G,5XVT,5XPS,5XU9,5XRY,5HGX,5XQK,5XSM,5XUF,5XTV,5I4I,5XSA,5XT0,5I5E,5XQA,5XTL,5XT4,5HYV,5XTX,5XU2,5XS6,5XSB,5XRV,5HJE	Scheffersomyces stipitis
2.2.1.1	P9WG25	3RIM	Mycobacterium tuberculosis
2.2.1.1	Q8MPM3	1R9J	Leishmania mexicana
2.2.1.2	P0A870	1I2P,4S2B,4S2C,4RZ5,1ONR,3CWN,1I2O,1UCW,1I2Q,4RZ6,1I2R,1I2N,3KOF	Escherichia coli
2.2.1.2	Q9HKI3	6YRH,6YRT,6YRE,3S1U,4XZ9,3S1V,3S1X,3S1W,6YRM,6YR3,6YS0,3S0C	Thermoplasma acidophilum
2.2.1.2	Q9WYD1	1VPX	Thermotoga maritima
2.2.1.7	P77488	2O1S	Escherichia coli
2.2.1.7	Q9RUB5	6XXG,2O1X,6OUV,6OUW	Deinococcus radiodurans
2.2.1.9	P17109	5EJ4,5Z2R,2JLC,5EJ8,5EJM,3HWX,3FLM,2JLA,5EJ5,5Z2P,5EJA,5Z2U,5EJ6,3HWW,5EJ7,5EJ9	Escherichia coli
2.2.1.9	P23970	2X7J	Bacillus subtilis
2.3.1.1	Q5FAK7	3B8G,2R98,3D2P,2R8V,3D2M	Pseudomonas aeruginosa
2.3.1.1	Q8N159	4K30	Homo sapiens
2.3.1.101	Q49610	2FHK,1FTR,2FHJ	Methanopyrus kandleri
2.3.1.108	Q5SQI0	4PK2,3VWD,4GS4,4B5P,4B5O,4IF5,4U9Z,4U9Y,4PK3,3VWE	Homo sapiens
2.3.1.129	P0A722	6P9T,2AQ9,2JF3,2QIV,2QIA,6HY2,1LXA,6P9Q,4J09,2JF2,6P9P,6P9R,6P9S	Escherichia coli
2.3.1.129	Q8EZA6	3I3A,3I3X,3HSQ	Leptospira interrogans
2.3.1.13	Q2KIR7	7PK2,7PK0,7PK1	Bos taurus
2.3.1.133	C5XXB7	4KEC,4KE4	Sorghum bicolor
2.3.1.133	E8ZAP2	5KJV,5KJW	Coleus scutellarioides
2.3.1.133	R9RYW2	5FAN,5FAL	Panicum virgatum
2.3.1.151	L7NCQ3	7CBF	Garcinia mangostana
2.3.1.157	A5U161	3DK5	Mycobacterium tuberculosis
2.3.1.157	P9WMN3	4G3P,6GE9,4G3Q,2QKX,3ST8,4G87,3D8V,4G3S,4HCQ,3FOQ,3DJ4,3SPT,3D98	Mycobacterium tuberculosis
2.3.1.157	Q975F9	2GGQ,5Z09,2GGO,5Z0A	Sulfurisphaera tokodaii
2.3.1.157	P9WMN2	4K6R	Mycobacterium tuberculosis
2.3.1.157	Q8Z9S7	4FCE	Yersinia pestis
2.3.1.159	A3E7Z7	3AWK,3AWJ	Huperzia serrata
2.3.1.159	U3KRF0	3WD7	Citrus x microcarpa
2.3.1.16	P42765	4C2J,4C2K	Homo sapiens
2.3.1.160	Q70PR7	2BGH	Rauvolfia serpentina x Rhazya stricta
2.3.1.161	Q9Y8A5	7CPY,7CPX	Aspergillus terreus
2.3.1.177	K9MST3	5W8Q,5WC4	Malus domestica
2.3.1.179	P0AAI5	3HNZ,3I8P,2GFV,3HO2,6OKG,1B3N,3G11,1KAS,2GFW,2GFY,6OLT,7L4L,2GFX,3HO9,7L4E,3G0Y	Escherichia coli
2.3.1.183	Q9HUU7	2BL1,1YVO	Pseudomonas aeruginosa
2.3.1.20	K9LL63	5UZL	Brassica napus
2.3.1.20	P9WQP3	1SFR	Mycobacterium tuberculosis
2.3.1.20	Q8GGG1	7NXG	Acinetobacter baylyi ADP1
2.3.1.203	B0V6J7	4M9C	Acinetobacter baumannii
2.3.1.203	Q5FAE1	4M99,4M98	Neisseria gonorrhoeae
2.3.1.212	Q94FV7	3A5S,3A5Q,3A5R	Rheum palmatum
2.3.1.217	C0SVZ6	3OV2,3OV3	Curcuma longa
2.3.1.220	Q8SAS8	5UCO	Hypericum androsaemum
2.3.1.233	Q9FCA7	1U0M	Streptomyces coelicolor
2.3.1.238	Q9Y7D1	3HLE,3HLF,3HL9,3HLD,3HLG,3HLB,4LCM,3HLC,4LCL	Aspergillus terreus
2.3.1.247	B0VHH0	2Y7E,2Y7F,2Y7G,2Y7D	Candidatus Cloacimonas acidaminovorans
2.3.1.248	O80467	6LPW	Arabidopsis thaliana
2.3.1.255	O74985	4KVO,4KVM	Schizosaccharomyces pombe
2.3.1.255	Q980R9	4LX9,4R3L,6AG4,2X7B,6AG5,4R3K,5C88	Saccharolobus solfataricus
2.3.1.258	Q9GZZ1	6WF3,6PW9,6PPL,6WFO,6WFG,2OB0,3TFY,6WFN,6WF5,4X5K,6WFK,2PSW	Homo sapiens
2.3.1.26	P35610	6L47,6P2J,6L48,6P2P,6VUM	Homo sapiens
2.3.1.271	E9P8D2	3W6X,3W6S,3W91	Saccharomyces cerevisiae
2.3.1.274	P71018	1VI1,6A1K	Bacillus subtilis
2.3.1.282	P9WIN5	1Q9J	Mycobacterium tuberculosis
2.3.1.286	P53686	1Q1A,7F51,1Q14,2OD2,1Q17,2QQG,2OD9,1SZC,2OD7,7F4E,2QQF,1SZD	Saccharomyces cerevisiae
2.3.1.286	Q8IE47	3JWP,3U3D,3U31	Plasmodium falciparum
2.3.1.286	Q8IXJ6	5Y0Z,5YQO,4X3P,5YQN,5D7P,5G4C,4RMI,5FYQ,5MAR,4Y6L,5D7O,5Y5N,3ZGV,5YQM,6L72,6NR0,7BOT,3ZGO,4Y6O,1J8F,6QCN,5D7Q,4R8M,4Y6Q,6L71,6L65,5DY5,7BOS,4RMG,4L3O,5DY4,5MAT,6L66,5YQL,4RMJ,4RMH,4X3O	Homo sapiens
2.3.1.30	D2Z028	3VVM,3VVL	Streptomyces lavendulae
2.3.1.30	P43886	1SSQ,1S80,1Y7L,1SSM,1SST	Haemophilus influenzae
2.3.1.30	Q401L4	7BW9	Entamoeba histolytica
2.3.1.31	Q8F4I0	2PL5	Leptospira interrogans
2.3.1.35	P9WPZ3	3IT4,3IT6	Mycobacterium tuberculosis
2.3.1.37	P08680	1H7J,1H7D	Mus musculus
2.3.1.37	P22557	5QRE,5QQU,5QQR,5QR3,5QRB,5QQS,5QR0,5QQQ,5QQW,5QR1,5QRD,5QQZ,5QRC,5QR8,5QQT,5QR5,5QR6,5QR7,5QR9,5QR4,5QRA,5QQX,5QQV,5QQY,5QR2,5QT3,6HRH	Homo sapiens
2.3.1.39	P9WNG5	2QJ3,2QC3	Mycobacterium tuberculosis
2.3.1.4	Q17427	4AG9,4AG7	Caenorhabditis elegans
2.3.1.4	Q5CPU3	6YUG	Cryptosporidium parvum
2.3.1.4	Q96EK6	3CXS,3CXP,2HUZ,3CXQ,2O28	Homo sapiens
2.3.1.4	Q9LFU9	3T90	Arabidopsis thaliana
2.3.1.43	P04180	6MVD,4XWG,4XX1,5TXF,4X96,5BV7	Homo sapiens
2.3.1.46	P07623	7CBE,6MTG	Escherichia coli
2.3.1.47	P12998	1DJ9,2G6W,1DJE,1BS0	Escherichia coli
2.3.1.48	O14929	2P0W,6VO5	Homo sapiens
2.3.1.48	Q07794	3Q66,2RIM,6F0Y,3Q33,3Q35,3Q68,6O22,3CZ7,2ZFN,3QM0	Saccharomyces cerevisiae
2.3.1.48	Q08649	5J9Q,1MJB,7VVZ,1MJ9,5J9W,1FY7,5J9U,3TO7,1MJA,5J9T,2RNZ,7VVU,2RO0,3TO9,3TO6	Saccharomyces cerevisiae
2.3.1.48	Q09472	5XZC,6FGS,3BIY,3IO2,6GYT,6V8N,6V90,5LPK,8GZC,6K4N,7VI0,3I3J,6PGU,7UGI,8HAH,5LKZ,6PF1,2K8F,5NU5,6FGN,6V8K,7XFG,3T92,8HAI,7QGS,7XEZ,4PZR,5BT3,1P4Q,3P57,5LKU,7VHY,8E1D,6V8B,5LPM,7W9V,7LJE,5LKT,8HAG,6GYR,5LKX,7SSK,7SZQ,4BHW,1L3E,6DS6,5KJ2,7SS8,7VHZ,4PZS,8HAK,2MH0,8HAJ,4PZT,2MZD	Homo sapiens
2.3.1.48	Q92830	5TRM,5H84,5H86,3D7C,6J3P,8H6D,8H6C,1F68,5MLJ,8H66,1Z4R,8H65,5TRL	Homo sapiens
2.3.1.48	Q9H7Z6	6PD9,7CMR,6CT2,6OWI,5J8F,6PDF,4DNC,3TOA,2Y0M,5H43,6PDG,6BA2,5WCI,6PDC,6BA4,6OIN,5J8C,6OIP,6PDD,6OIR,6PDA,6PD8,2PQ8,6PDB,6OIO,6PDE,3QAH,2GIV,6OWH,6OIQ,3TOB	Homo sapiens
2.3.1.5	O86309	1GX3,1W6F,1W5R	Mycobacterium tuberculosis
2.3.1.5	P11245	2PFR	Homo sapiens
2.3.1.5	P18440	2IJA,2PQT	Homo sapiens
2.3.1.5	Q5YYQ3	3D9W	Nocardia farcinica
2.3.1.50	A7BFV6	3A2B,8GUH	Sphingobacterium multivorum
2.3.1.50	Q93UV0	2W8J,2XBN,2JG2,2W8T,2JGT,4BMK,2W8W,2W8V,2W8U	Sphingomonas paucimobilis
2.3.1.50	O15269	6M4N,6M4O,7CQI,7CQK,7K0I,7K0J,7K0K,7K0L,7K0M,7K0N,7K0O,7K0P,7K0Q,7YIU,7YIY,7YJ1,7YJ2	Homo sapiens
2.3.1.51	Q9DBL9	5A4H	Mus musculus
2.3.1.57	P21673	2B5G,2F5I,2B4D,2FXF,2JEV,2B3U,2B3V,2B4B,2B58,2G3T	Homo sapiens
2.3.1.64	A9ZPJ6	7CYS	Hordeum vulgare
2.3.1.7	P43155	1S5O,1NM8	Homo sapiens
2.3.1.7	P47934	1T7O,2H3U,1T7Q,2H3W,1NDF,2H3P,1T7N,1NDI,1NDB	Mus musculus
2.3.1.74	K9MUA0	5UC5	Malus domestica
2.3.1.74	Q2VAZ3	6DX7	Physcomitrium patens
2.3.1.75	A1TX06	6CHJ	Marinobacter nauticus
2.3.1.8	B2RK03	6IOW,6IOX	Porphyromonas gingivalis
2.3.1.8	P0A9M8	7T85,7T88	Escherichia coli
2.3.1.8	P38503	1QZT,2AF3,2AF4	Methanosarcina thermophila
2.3.1.81	Q51405	6MB4,6MB7,6MB5,6MB9,6MB6,6MB8	Pseudomonas aeruginosa
2.3.1.82	A0A059WZ16	5F47,5U08,5F46,5F48,5F49	uncultured bacterium
2.3.1.82	Q43899	4E8O	Acinetobacter baumannii
2.3.1.82	Q44057	4EVY,4F0Y	Acinetobacter haemolyticus
2.3.1.82	Q47764	1B87,2A4N,1N71,7BXZ,5E96	Enterococcus faecium
2.3.1.85	P19096	5MY0,5MY2,6ROP	Mus musculus
2.3.1.87	A0QY29	3SXN,4QB9	Mycolicibacterium smegmatis
2.3.1.87	P9WFK7	3SXO,6X10,8F4A,6X6Y,6B0U,5IV0,6VV2,8F4T,6VV1,4JD6,6VUW,6VUY,6VUU,8F4Z,5TVJ,6B3T,3RYO,6X6G,3UY5,8F57,6P3T,8F55,5EBV,6VUR,6VUS,6VV3,8D23,6X7A,6VUZ,8F58,6VUT,8F4U,6P3V,6VV0,6X6I,8D1R,3R1K,6P3U,8F51,8D25,5EC4,8F4W,6VUX	Mycobacterium tuberculosis
2.3.1.87	Q16613	6T80	Homo sapiens
2.3.1.87	Q29495	1B6B,1KUV,1KUX,1KUY,1L0C,1CJW,1IB1	Ovis aries
2.3.1.9	B0XMC1	6L2C,6L2G	Aspergillus fumigatus
2.3.1.9	P76461	4WYS,5F38,5F0V	Escherichia coli
2.3.1.97	D0AB09	2WUU	Leishmania donovani
2.3.1.97	O60551	6PAU,4C2X	Homo sapiens
2.3.1.97	P30418	1IYL,1IYK,1NMT	Candida albicans
2.3.1.97	P30419	7OWO,5O9S,6FZ3,6PAV,6SJZ,3IU1,7RK3,4C2Z,5MU6,6SK3,3IWE,5O9T,6F56,7OWU,5O6H,6FZ2,7OWQ,1RXT,6FZ5,4C2Y,5O9U,3JTK,5O9V,6SKJ,7OWP,6QRM,6SK8,7OWN,5O6J,7OWM,3IU2,5UUT,7OWR,5NPQ,6SK2,6EHJ	Homo sapiens
2.3.1.97	Q9GPZ4	6OMK	Leishmania major
